RelSpeed_Avg,FB_Velo_Avg,SpinRate_Avg,Extension_Avg,IVB_Avg,HorzBreak_Avg,SpinAxis_Avg,RelHeight_Avg,FB_Velo_Max,SpinRate_FB,VertBreak_Avg,RelSide_Avg,VertApprAngle_Avg,HorzApprAngle_Avg,EffVelo_Avg,Zone_pct,Whiff_pct,PitchCount,PitchTypes,FB_pct,VeloFade,cat_elite,cat_fastball,cat_offspeed,FB_Velo_Avg_lag1,SpinRate_Avg_lag1,Strike_pct_lag1,Zone_pct_lag1,Whiff_pct_lag1,FB_Velo_Avg_roll3,SpinRate_Avg_roll3,Strike_pct_roll3,Zone_pct_roll3,Whiff_pct_roll3,SessionNum,DaysSinceLast,Strike_pct,Pitcher,Date,Category
75.88393875,85.23667499999999,2622.1627715,4.29251,3.6477925,9.822154999999999,224.5204745,4.828075,85.38148,2240.0504805,-49.0530225,-3.1883325,-7.297309,4.57633225,72.734395,0.375,0.0,8,2,0.25,0.5529003796296195,0,0,0,86.80271455710955,2135.781214422222,0.5833333333333334,0.42424242424242425,0.08333333333333333,86.6935669212963,2119.4027671852527,0.5901451489686784,0.4264957264957265,0.09003831417624521,1,8.0,0.625,"Aikens, Parker",2025-04-25,unknown
80.9464584,83.87846222222223,2230.0337192800002,4.5604264,4.4042368,-12.519272,139.28947716000002,5.0123904,85.46221,2097.865006333333,-42.3263624,-3.2099916000000004,-6.46408816,2.43043656,77.1511256,0.32,0.08,25,2,0.72,0.5529003796296195,0,0,0,85.23667499999999,2622.1627715,0.625,0.375,0.0,85.23667499999999,2622.1627715,0.625,0.375,0.0,2,2.0,0.4,"Aikens, Parker",2025-04-27,unknown
85.65336621621623,89.34847576923076,2078.599215945946,5.220400540540541,9.054583783783784,6.844791621621622,189.0603714864865,6.201425675675676,90.6649,2024.1643354230773,-30.76638405405405,1.6557740540540542,-6.77723254054054,-1.1018142972972973,83.68997621621622,0.3783783783783784,0.13513513513513514,37,3,0.7027027027027027,1.092293500000011,0,0,0,86.80271455710955,2135.781214422222,0.5833333333333334,0.42424242424242425,0.08333333333333333,86.6935669212963,2119.4027671852527,0.5901451489686784,0.4264957264957265,0.09003831417624521,1,8.0,0.5135135135135135,"Allen, Derrick",2025-10-18,unknown
83.33591461538461,85.259312,1688.902558346154,6.4812076923076924,6.7635165384615386,-11.96705230769231,121.67410496153846,5.885597307692308,86.60756,1767.4819516,-32.971045,-1.9564146153846154,-6.813016692307692,0.19831138461538464,83.43369923076922,0.3076923076923077,0.07692307692307693,26,3,0.7692307692307693,0.5529003796296195,0,0,0,86.80271455710955,2135.781214422222,0.5833333333333334,0.42424242424242425,0.08333333333333333,86.6935669212963,2119.4027671852527,0.5901451489686784,0.4264957264957265,0.09003831417624521,1,8.0,0.46153846153846156,"Ament, Ryan",2025-02-26,unknown
80.14068882352942,83.89583636363638,1578.4937717058824,6.450608823529412,5.292628235294118,-3.3518464705882356,172.41631635294118,5.86325294117647,85.33847,1574.2822317272728,-38.12196294117647,-2.3572141176470587,-6.905135529411765,2.8448412352941177,80.25145294117647,0.35294117647058826,0.058823529411764705,17,4,0.6470588235294118,0.5529003796296195,0,0,0,85.259312,1688.902558346154,0.46153846153846156,0.3076923076923077,0.07692307692307693,85.259312,1688.902558346154,0.46153846153846156,0.3076923076923077,0.07692307692307693,2,6.0,0.5294117647058824,"Ament, Ryan",2025-03-04,unknown
79.38745076923078,85.50479800000001,1572.9384736363636,6.201599230769231,4.025843846153846,-10.023947692307692,156.4158146923077,5.901117692307692,86.09877,1751.2217123333332,-41.19813692307692,-2.335586923076923,-8.125963230769232,1.6951585384615386,78.56312461538461,0.38461538461538464,0.0,13,3,0.38461538461538464,0.5529003796296195,0,0,0,83.89583636363638,1578.4937717058824,0.5294117647058824,0.35294117647058826,0.058823529411764705,84.57757418181819,1633.6981650260182,0.49547511312217196,0.330316742081448,0.06787330316742082,3,9.0,0.46153846153846156,"Ament, Ryan",2025-03-13,unknown
82.93304352941176,85.65354928571428,1778.6433295294119,6.577680588235294,3.80097,-11.66749705882353,131.52923294117647,5.91905705882353,86.90873,1764.6357829999997,-37.607308823529415,-2.0294288235294116,-7.162996705882353,1.360657705882353,82.30752470588236,0.5294117647058824,0.11764705882352941,17,3,0.8235294117647058,0.5529003796296195,0,0,0,85.50479800000001,1572.9384736363636,0.46153846153846156,0.38461538461538464,0.0,84.8866487878788,1613.4449345628,0.48416289592760187,0.3484162895927602,0.04524886877828055,4,14.0,0.5882352941176471,"Ament, Ryan",2025-03-27,unknown
80.66933368421053,84.77378363636363,1741.980966157895,6.535893684210526,4.201699473684211,-7.784626842105262,155.55635910526317,5.37187947368421,86.78025,1775.4826097272723,-37.9266352631579,-2.2710915789473685,-7.6946352631578945,1.8975537368421054,81.27567,0.3157894736842105,0.05263157894736842,19,4,0.5789473684210527,0.5529003796296195,0,0,0,85.65354928571428,1778.6433295294119,0.5882352941176471,0.5294117647058824,0.11764705882352941,85.01806121645022,1643.3585249572195,0.526395173453997,0.42232277526395173,0.0588235294117647,5,6.0,0.42105263157894735,"Ament, Ryan",2025-04-02,unknown
84.02803916666666,86.48170714285716,1569.2037293333333,6.200128333333333,2.60105,-9.729682500000001,116.17260158333333,5.8543658333333335,87.18424,1596.1394822857144,-36.714465,-2.2428708333333334,-7.5458085,1.4451685,83.79904,0.5833333333333334,0.0,12,2,0.5833333333333334,0.5529003796296195,0,0,0,84.77378363636363,1741.980966157895,0.42105263157894735,0.3157894736842105,0.05263157894736842,85.31071030735932,1697.8542564412235,0.4902754624116854,0.40993887433515913,0.05675954592363261,6,44.0,0.75,"Ament, Ryan",2025-05-16,unknown
79.37206531914894,84.47138600000001,1943.6262178085105,5.68706340425532,7.683451063829787,5.159304468085106,169.03355614893616,6.374374255319149,88.50055,1892.2582372999998,-37.987799787234046,0.9412548936170212,-7.876602276595745,-0.8131407659574468,78.16070893617021,0.40425531914893614,0.06382978723404255,47,5,0.425531914893617,0.5529003796296195,0,0,0,86.80271455710955,2135.781214422222,0.5833333333333334,0.42424242424242425,0.08333333333333333,86.6935669212963,2119.4027671852527,0.5901451489686784,0.4264957264957265,0.09003831417624521,1,8.0,0.574468085106383,"Anderson , a",2025-10-04,unknown
