RelSpeed_Avg,FB_Velo_Avg,SpinRate_Avg,Extension_Avg,IVB_Avg,HorzBreak_Avg,SpinAxis_Avg,RelHeight_Avg,FB_Velo_Max,SpinRate_FB,VertBreak_Avg,RelSide_Avg,VertApprAngle_Avg,HorzApprAngle_Avg,EffVelo_Avg,PitchCount,PitchTypes,FB_pct,VeloFade,FB_Velo_Avg_lag1,SpinRate_Avg_lag1,Strike_pct_lag1,Zone_pct_lag1,Whiff_pct_lag1,FB_Velo_Avg_roll3,SpinRate_Avg_roll3,Strike_pct_roll3_cov,Zone_pct_roll3_cov,Whiff_pct_roll3_cov,DaysSinceLast,pitcher_prior_strike_pct,Strike_pct,Pitcher,Date,Category
83.33591461538461,85.259312,1688.902558346154,6.4812076923076924,6.7635165384615386,-11.96705230769231,121.67410496153846,5.885597307692308,86.60756,1767.4819516,-32.971045,-1.9564146153846154,-6.813016692307692,0.19831138461538464,83.43369923076922,26,3,0.7407407407407407,0.5529003796296195,86.80271455710955,2135.781214422222,0.5614035087719298,0.4090909090909091,0.08196721311475409,86.6935669212963,2119.4027671852527,0.13658447722056608,0.1968608032878766,0.6976754609419789,8.0,0.5622132712685646,0.4444444444444444,"Ament, Ryan",2025-02-26,fastball
80.14068882352942,83.89583636363638,1578.4937717058824,6.450608823529412,5.292628235294118,-3.3518464705882356,172.41631635294118,5.86325294117647,85.33847,1574.2822317272728,-38.12196294117647,-2.3572141176470587,-6.905135529411765,2.8448412352941177,80.25145294117647,17,4,0.6111111111111112,0.5529003796296195,85.259312,1688.902558346154,0.4444444444444444,0.2962962962962963,0.07407407407407407,85.259312,1688.902558346154,0.13658447722056608,0.1968608032878766,0.6976754609419789,6.0,0.4444444444444444,0.5,"Ament, Ryan",2025-03-04,fastball
79.38745076923078,85.50479800000001,1572.9384736363636,6.201599230769231,4.025843846153846,-10.023947692307692,156.4158146923077,5.901117692307692,86.09877,1751.2217123333332,-41.19813692307692,-2.335586923076923,-8.125963230769232,1.6951585384615386,78.56312461538461,13,3,0.35714285714285715,0.5529003796296195,83.89583636363638,1578.4937717058824,0.5,0.3333333333333333,0.05555555555555555,84.57757418181819,1633.6981650260182,0.08318903308077034,0.08318903308077036,0.20203050891044216,9.0,0.4722222222222222,0.42857142857142855,"Ament, Ryan",2025-03-13,fastball
82.93304352941176,85.65354928571428,1778.6433295294119,6.577680588235294,3.80097,-11.66749705882353,131.52923294117647,5.91905705882353,86.90873,1764.6357829999997,-37.607308823529415,-2.0294288235294116,-7.162996705882353,1.360657705882353,82.30752470588236,17,3,0.7777777777777778,0.5529003796296195,85.50479800000001,1572.9384736363636,0.42857142857142855,0.35714285714285715,0.0,84.8866487878788,1613.4449345628,0.08195055999281985,0.09321897399846504,0.8921425711997711,14.0,0.4576719576719577,0.5555555555555556,"Ament, Ryan",2025-03-27,fastball
80.66933368421053,84.77378363636363,1741.980966157895,6.535893684210526,4.201699473684211,-7.784626842105262,155.55635910526317,5.37187947368421,86.78025,1775.4826097272723,-37.9266352631579,-2.2710915789473685,-7.6946352631578945,1.8975537368421054,81.27567,19,4,0.55,0.5529003796296195,85.65354928571428,1778.6433295294119,0.5555555555555556,0.5,0.1111111111111111,85.01806121645022,1643.3585249572195,0.12867603652958257,0.22715633383201106,1.0,6.0,0.48214285714285715,0.4,"Ament, Ryan",2025-04-02,fastball
84.02803916666666,86.48170714285716,1569.2037293333333,6.200128333333333,2.60105,-9.729682500000001,116.17260158333333,5.8543658333333335,87.18424,1596.1394822857144,-36.714465,-2.2428708333333334,-7.5458085,1.4451685,83.79904,12,2,0.5384615384615384,0.5529003796296195,84.77378363636363,1741.980966157895,0.4,0.3,0.05,85.31071030735932,1697.8542564412235,0.1794715610962352,0.26707787225659185,1.0362054621597738,44.0,0.46571428571428575,0.6923076923076923,"Ament, Ryan",2025-05-16,fastball
82.61707896551724,86.0866852631579,1795.67827575,4.924754137931035,15.480993103448276,11.362425862068966,187.68532468965515,6.162479310344828,87.94787,1990.8856118421054,-28.444301724137933,1.1842186206896552,-7.076343344827586,-0.6830638620689655,79.52612793103448,29,3,0.6333333333333333,0.5529003796296195,86.80271455710955,2135.781214422222,0.5614035087719298,0.4090909090909091,0.08196721311475409,86.6935669212963,2119.4027671852527,0.13658447722056608,0.1968608032878766,0.6976754609419789,8.0,0.5622132712685646,0.4666666666666667,"Bilo, Michael",2025-03-13,fastball
82.8722244,85.94123125,1737.7966656800002,4.6920072,13.875382,13.6216504,231.75921752,6.2953512,87.48925,1993.262094375,-29.8435592,1.090978,-6.75476548,0.27082372,79.5927088,25,3,0.6153846153846154,0.5529003796296195,86.0866852631579,1795.67827575,0.4666666666666667,0.36666666666666664,0.0,86.0866852631579,1795.67827575,0.13658447722056608,0.1968608032878766,0.6976754609419789,33.0,0.4666666666666667,0.5769230769230769,"Bilo, Michael",2025-04-15,fastball
83.17329481481482,87.83987629629631,1909.2489605185185,4.500030185185185,9.657446481481482,7.697370555555556,186.36393890740743,6.012056666666666,89.73725,2150.867226777778,-34.149764814814816,0.9653933333333333,-7.1216187407407405,-0.5838605185185185,79.58073388888889,54,3,0.4909090909090909,0.16370757142857428,85.94123125,1737.7966656800002,0.5769230769230769,0.46153846153846156,0.038461538461538464,86.01395825657895,1766.7374707150002,0.14941322649150637,0.16199969599939493,1.414213562373095,31.0,0.5217948717948717,0.6181818181818182,"Bilo, Michael",2025-05-16,fastball
85.95279533333334,87.85281844444445,2348.7874881166663,6.337804666666667,14.2436135,-4.918635833333334,147.86665435,5.708097666666666,90.29094,2309.273771666667,-23.743804166666667,0.4728361666666666,-6.063347683333333,-1.0796414333333333,85.321504,60,4,0.7377049180327869,0.3585510999999997,86.80271455710955,2135.781214422222,0.5614035087719298,0.4090909090909091,0.08196721311475409,86.6935669212963,2119.4027671852527,0.13658447722056608,0.1968608032878766,0.6976754609419789,8.0,0.5622132712685646,0.5901639344262295,"Cassedy, Brandon",2025-02-23,elite
83.03797155339807,86.9987545614035,2351.5690968737863,6.092916601941748,9.071078737864077,-5.709259223300971,131.09874331067962,5.753445533980582,89.66647,2235.7135069298247,-32.52267009708738,0.44099,-6.7178778155339804,-0.6649844174757281,81.854176407767,103,4,0.5480769230769231,1.2308055270270302,87.85281844444445,2348.7874881166663,0.5901639344262295,0.4918032786885246,0.08196721311475409,87.85281844444445,2348.7874881166663,0.13658447722056608,0.1968608032878766,0.6976754609419789,7.0,0.5901639344262295,0.6442307692307693,"Cassedy, Brandon",2025-03-02,elite
84.89312056818181,87.309581,2349.3790013295456,6.198162045454546,10.004503522727273,-3.95492125,139.53842905681816,5.683044431818182,91.53405,2324.669638157143,-28.871339772727275,0.5141606818181818,-6.151972897727273,-0.6529277840909091,84.73703522727273,88,4,0.7865168539325843,-2.2769621000000058,86.9987545614035,2351.5690968737863,0.6442307692307693,0.5384615384615384,0.1346153846153846,87.42578650292398,2350.1782924952263,0.061942951333670226,0.06404639144162118,0.34377534922315406,13.0,0.6171973518284994,0.6404494382022472,"Cassedy, Brandon",2025-03-15,elite
76.79363444444444,86.99538,2014.1964158888889,5.33784,9.229430833333332,2.0228197222222217,168.42047122222223,5.909473055555555,89.19216,2125.634418676471,-39.43215638888889,0.8966447222222222,-7.682669361111111,-0.5303645833333334,75.57322194444446,36,1,0.0,0.5529003796296195,87.309581,2349.3790013295456,0.6404494382022472,0.550561797752809,0.06741573033707865,87.38705133528265,2349.911862106666,0.04829713292997682,0.05888083622695742,0.37345838270366727,19.0,0.6249480472864154,0.0,"Cassedy, Brandon",2025-04-03,elite
