PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,13:01:25.63,1,1,"O'Hara, Connor",1000036031,Right,GEO_PAT,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.99885,-3.180536,-3.755,2256.180416,208.053185,1:00,6.01125,1.4163,5.23629,-9.41064,24.30572,12.28969,2.22787,-1.09426,83.76854,-5.05149,-1.583565,0.417919,54.21596,2.032449,165.016211,3415.952521,,,,30.81268,30.81268,164.785831,0.365815,-7.20831,13.38099,-1.07939,50,5.71106,8.20122,-134.28704,-7.67356,-13.01797,32.06213,-8.00839,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250301-SpuhlerFieldMain-1,328d2390-f6c7-11ef-9af0-8175736ca13f,90.19087,1.74319,,9.23031,,,,,,,ee5331bf-50e2-4022-b6f0-be524f8a188f,2025-03-01,18:01:25.63,2025-03-01T13:01:25.6374784-05:00,2025-03-01T18:01:25.6374784Z,GroundBall,v3,471300,4164,01 March 2025 13:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,09f810f3-45c7-40a6-a55d-26e065768a5b,55.26135,-135.5374,16.03107,6.00423,-7.36125,-4.0042,-1.40912,8.70889,-6.50898,337.166079,-2.15801,-76.76465,3.69134,0.27608,-0.04329,0.03999,-0.01143,-0.00059,0,1.64735,2.8201,-20.75246,2.12326,-0.35802,0.0919,0.00031,-0.00712,0.00306,0.97981,20.54575,-2.89449,-0.4812,0.08613,-0.05085,0.01724,-0.0091,0.00667,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-03-01,13:01:41.08,1,2,"O'Hara, Connor",1000036031,Right,GEO_PAT,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.44768,1.856436,-0.862729,1983.130131,33.593803,7:00,5.9284,1.52183,5.16941,-45.49483,-3.78776,-3.47382,3.88516,0.42032,75.5576,-6.432344,-1.478003,0.464811,,,,,,,,,,,,1.44488,-1.9626,-1.43869,50,6.06708,1.97521,-120.90584,2.18728,2.11427,26.09282,-35.0459,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250301-SpuhlerFieldMain-1,3bb817e0-f6c7-11ef-9af0-8175736ca13f,81.09201,,,7.89007,,,,,,,ee5331bf-50e2-4022-b6f0-be524f8a188f,2025-03-01,18:01:41.08,2025-03-01T13:01:41.0888192-05:00,2025-03-01T18:01:41.0888192Z,,v3,471300,4164,01 March 2025 13:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,ecb52d70-4c34-440a-9f31-9baed2cb2a76,55.33085,-122.05088,13.04641,5.93735,3.7252,-17.52295,-1.52333,1.88243,1.05714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,13:01:53.87,1,3,"O'Hara, Connor",1000036031,Right,GEO_PAT,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,0,2,0,Cutter,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.83088,-1.232796,-2.818722,2028.379988,225.099048,1:30,5.86793,1.46025,5.65521,-30.23635,8.34079,7.06386,2.19687,-0.58216,78.16963,-6.826886,-1.557453,0.44703,,,,,,,,,,,,-4.41024,4.99362,-1.22574,50,5.74433,5.82586,-124.40002,-3.71153,-6.86574,26.48208,-24.40008,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250301-SpuhlerFieldMain-1,43571500-f6c7-11ef-9af0-8175736ca13f,84.31752,,,7.66126,,,,,,,ee5331bf-50e2-4022-b6f0-be524f8a188f,2025-03-01,18:01:53.87,2025-03-01T13:01:53.8749952-05:00,2025-03-01T18:01:53.8749952Z,,v3,471300,4164,01 March 2025 13:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,eb7fbf50-716d-4946-8f98-21ef871a9e2a,54.84512,-125.4272,13.24104,5.86993,-2.7651,-12.20004,-1.45688,6.09217,-3.43287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-01,13:02:09.11,1,4,"O'Hara, Connor",1000036031,Right,GEO_PAT,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,Popup,Out,1,0,,92.45753,-1.430486,-2.917721,2305.397374,244.23686,2:15,5.94235,1.52239,5.43723,-23.22667,11.12323,20.08564,2.66516,0.46145,81.98372,-5.796001,0.654519,0.421827,67.00942,57.200967,-14.236779,,105.28571,93.7533,-31.8574,195.52876,149.43311,-17.484505,4.829318,-11.2041,6.51693,-1.2784,50,5.80003,5.86222,-133.62004,-4.17194,-19.60526,37.40724,-20.7705,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250301-SpuhlerFieldMain-1,4c6b25f0-f6c7-11ef-9af0-8175736ca13f,89.35526,94.0393,,10.47381,,,,3.08758,3.98514,-1.25251,ee5331bf-50e2-4022-b6f0-be524f8a188f,2025-03-01,18:02:09.11,2025-03-01T13:02:09.1172864-05:00,2025-03-01T18:02:09.1172864Z,Popup,v3,471300,4164,01 March 2025 13:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,86ba8664-fd63-4d2c-bb4c-91aaa86aca47,55.06175,-135.02966,18.70362,5.9425,-3.38925,-10.38525,-1.51322,6.601,-9.80263,162.987719,3.09046,51.53917,-6.26595,0.98484,0.10422,-0.09744,0.0217,-0.00201,6E-05,3.98493,82.6079,-22.23244,2.03877,-0.18281,-0.10501,0.04764,-0.00794,0.00049,-1.25231,-13.09732,0.3742,-0.08952,0.03258,-0.01412,0.00504,-0.0009,6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
5,2025-03-01,13:02:36.85,2,1,"O'Hara, Connor",1000036031,Right,GEO_PAT,"Caufield, Casey",1000121884,Left,MON_HAW,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.57075,-1.429793,-1.343038,2192.20719,248.979027,2:15,5.99867,1.37783,5.35077,-27.48962,7.1893,15.31182,2.36611,1.39384,82.29454,-6.514853,1.380143,0.423842,,,,,,,,,,,,-8.10071,4.46788,-1.26814,50,5.85064,2.3835,-132.59286,-4.35367,-14.13048,33.68063,-24.38047,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250301-SpuhlerFieldMain-1,5cf59d60-f6c7-11ef-9af0-8175736ca13f,88.93037,,,9.27621,,,,,,,ee5331bf-50e2-4022-b6f0-be524f8a188f,2025-03-01,18:02:36.85,2025-03-01T13:02:36.8553984-05:00,2025-03-01T18:02:36.8553984Z,,v3,471300,4164,01 March 2025 13:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,d2026462-88c6-4cec-bf32-5cb879749d35,55.14844,-133.89426,16.84031,6.00066,-3.41163,-12.19024,-1.37079,2.9295,-7.06524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-01,13:02:47.47,2,2,"O'Hara, Connor",1000036031,Right,GEO_PAT,"Caufield, Casey",1000121884,Left,MON_HAW,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.43087,2.330302,-0.764802,2018.261273,33.743305,7:00,5.78617,1.56965,4.96633,-49.62849,-8.21654,-6.51406,3.8533,0.30426,75.82902,-6.673326,-1.914249,0.463164,,,,,,,,,,,,2.92752,-4.2989,-1.49011,50,5.97131,1.93226,-122.16051,2.98239,4.33545,28.5499,-38.5404,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250301-SpuhlerFieldMain-1,6355b1e0-f6c7-11ef-9af0-8175736ca13f,81.38042,,,8.60185,,,,,,,ee5331bf-50e2-4022-b6f0-be524f8a188f,2025-03-01,18:02:47.47,2025-03-01T13:02:47.4752000-05:00,2025-03-01T18:02:47.4752000Z,,v3,471300,4164,01 March 2025 13:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,b2d1d60a-de6d-466f-abad-d4f0da9d23b8,55.53368,-123.447,14.27495,5.7978,4.71907,-19.2702,-1.57278,1.7369,2.16773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,13:02:57.85,2,3,"O'Hara, Connor",1000036031,Right,GEO_PAT,"Caufield, Casey",1000121884,Left,MON_HAW,Undefined,1,Top,1,1,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,91.41358,-1.160468,-2.395957,2198.748774,235.375941,1:45,5.89853,1.48219,5.29744,-21.38808,13.93213,18.04111,3.02551,0.7347,80.95944,-5.201168,0.804868,0.427743,91.832,23.557683,-14.988797,3575.173711,104.98469,41.50186,-32.83612,342.03254,342.03254,-21.148997,3.862325,-9.88197,7.8,-1.27777,50,5.77804,4.66091,-132.10185,-3.42184,-16.89997,36.57969,-18.83463,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250301-SpuhlerFieldMain-1,697f7420-f6c7-11ef-9af0-8175736ca13f,88.11932,51.33577,,10.45413,,,,0.82951,3.00153,-0.74762,ee5331bf-50e2-4022-b6f0-be524f8a188f,2025-03-01,18:02:57.85,2025-03-01T13:02:57.8527232-05:00,2025-03-01T18:02:57.8527232Z,LineDrive,v3,471300,4164,01 March 2025 13:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,7f99b5c9-42c8-43ee-be6e-4da099a87136,55.19985,-133.53395,18.28984,5.89757,-2.68446,-9.41731,-1.4732,5.32255,-8.44999,148.8495,0.82898,119.27572,-19.15849,4.67929,-1.11034,0.27923,-0.06036,0.00811,-0.00046,3.00215,53.81462,-15.86415,0.41524,0.13698,-0.0838,0.01973,-0.0018,2E-05,-0.7476,-31.93163,-0.18109,0.14411,-0.03967,0.00414,0.00086,-0.00028,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-03-01,13:03:39.61,3,1,"O'Hara, Connor",1000036031,Right,GEO_PAT,"Bant, Jay",1000121798,Left,MON_HAW,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.32633,-0.869419,-2.972547,1786.677727,273.84385,3:15,5.70777,1.94643,5.31787,-40.54073,0.05157,24.50167,1.51221,1.19582,75.8617,-8.317035,1.382598,0.458557,,,,,,,,,,,,-13.31772,0.86689,-1.69508,50,5.6001,5.30147,-123.3019,-3.38452,-19.79587,32.38283,-30.88547,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250301-SpuhlerFieldMain-1,82642260-f6c7-11ef-9af0-8175736ca13f,82.19795,,,9.46463,,,,,,,ee5331bf-50e2-4022-b6f0-be524f8a188f,2025-03-01,18:03:39.61,2025-03-01T13:03:39.6124160-05:00,2025-03-01T18:03:39.6124160Z,,v3,471300,4164,01 March 2025 13:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,c85f8865-7fd5-4929-932e-2054a3b8b75f,55.18137,-124.65525,16.19142,5.71457,-2.09374,-15.44273,-1.93392,6.12879,-9.89794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-01,13:03:55.17,3,2,"O'Hara, Connor",1000036031,Right,GEO_PAT,"Bant, Jay",1000121798,Left,MON_HAW,Undefined,1,Top,1,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.71033,-2.392304,-2.512237,2240.475815,252.216869,2:30,5.9273,1.40414,5.31178,-24.521,10.76638,28.80789,1.63485,1.44514,81.06612,-6.97828,2.605015,0.427544,,,,,,,,,,,,-15.26379,6.74067,-1.19746,50,5.69291,4.40536,-132.40897,-6.43039,-26.08356,38.11906,-20.6552,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250301-SpuhlerFieldMain-1,8ba7ced0-f6c7-11ef-9af0-8175736ca13f,88.16032,,,10.64421,,,,,,,ee5331bf-50e2-4022-b6f0-be524f8a188f,2025-03-01,18:03:55.17,2025-03-01T13:03:55.1728640-05:00,2025-03-01T18:03:55.1728640Z,,v3,471300,4164,01 March 2025 13:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,bec5b184-27c1-4a97-b106-308e2c664eae,55.18607,-133.89366,19.05953,5.9277,-5.6259,-10.3276,-1.38883,5.42129,-13.04178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-01,13:04:10.69,3,3,"O'Hara, Connor",1000036031,Right,GEO_PAT,"Bant, Jay",1000121798,Left,MON_HAW,Undefined,1,Top,1,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.72215,-2.218554,-1.965976,2238.939604,248.766453,2:15,5.90296,1.50114,5.40311,-24.66556,9.51245,20.84627,1.76629,1.39534,82.42668,-6.82097,1.744251,0.42077,,,,,,,,,,,,-11.15068,5.998,-1.34085,50,5.68831,3.59727,-134.01976,-6.10536,-19.63895,37.49569,-21.61019,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250301-SpuhlerFieldMain-1,94e6c050-f6c7-11ef-9af0-8175736ca13f,89.57966,,,10.29547,,,,,,,ee5331bf-50e2-4022-b6f0-be524f8a188f,2025-03-01,18:04:10.69,2025-03-01T13:04:10.6908672-05:00,2025-03-01T18:04:10.6908672Z,,v3,471300,4164,01 March 2025 13:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,ec1d6d5f-35c9-45cf-83a0-928a4db521e1,55.09497,-135.43772,18.74785,5.90374,-5.28814,-10.8051,-1.49093,4.33994,-9.81948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
