PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2026-01-23,12:11:03.05,1,1,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Clyne , Owen",1000230336,Left,GEO_PAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.94123,-4.045504,-3.454698,2351.239394,208.306672,1:00,5.90535,2.02046,6.11804,-10.97804,24.45092,12.37359,1.23703,-0.14645,79.9807,-6.261264,-1.230583,0.428401,,,,,,,,,,,,-7.65882,14.51351,-1.76179,50,5.58868,7.31852,-129.83638,-9.39948,-12.69312,34.55318,-8.12056,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20260123-SpuhlerFieldMain-Private-1,876c6100-f87e-11f0-83c7-67c79e5767a2,87.984,,,9.96052,,,,,,,7624d708-6aeb-4e57-a7ff-5913e0b8ba04,2026-01-23,17:11:03.05,2026-01-23T12:11:03.0555136-05:00,2026-01-23T17:11:03.0555136Z,,v3,471300,471300,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,4e5ef4cf-9491-4d7f-8f86-286c05d263e7,54.38089,-130.99707,17.27659,5.89984,-9.1267,-4.06028,-2.01479,7.7449,-6.34656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2026-01-23,12:11:20.30,1,2,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Clyne , Owen",1000230336,Left,GEO_PAT,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.40355,-2.72285,-3.389298,2318.454877,219.965967,1:15,5.97565,2.13104,5.75276,-13.18855,22.19926,17.39899,2.33538,0.42195,80.48015,-5.321043,-0.281351,0.428152,74.98849,8.635677,-170.776049,2372.623975,-108.70279,7.3144,-16.8418,150.05424,47.60935,-171.532201,1.698351,-9.738,12.47446,-1.8584,50,5.74055,6.88693,-130.52622,-6.50235,-16.39952,33.57611,-11.16616,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20260123-SpuhlerFieldMain-Private-1,89bbf650-f87e-11f0-83c7-67c79e5767a2,88.03511,9.05683,,9.92339,,,,0.1944,2.59219,-0.57028,7624d708-6aeb-4e57-a7ff-5913e0b8ba04,2026-01-23,17:11:20.30,2026-01-23T12:11:20.3067904-05:00,2026-01-23T17:11:20.3067904Z,GroundBall,v3,471300,471300,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,43abcac9-09f5-4abb-8973-bb358e4b71eb,54.73934,-131.73971,16.78805,5.96827,-6.09879,-5.58308,-2.11801,7.47963,-8.19976,170.446111,-0.26384,-103.55107,9.73969,,,,,,,2.58635,16.62949,-10.69298,,,,,,,-0.69054,-16.43104,2.2878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2026-01-23,12:11:45.80,1,3,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Clyne , Owen",1000230336,Left,GEO_PAT,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.27661,-3.281548,-3.089901,2323.429189,204.973392,12:45,5.84981,2.10811,6.29382,-11.24264,22.50056,9.88221,1.88119,0.08146,81.98243,-5.522726,-1.306766,0.418085,,,,,,,,,,,,-6.13536,13.11843,-1.88499,50,5.60207,6.71426,-132.07789,-7.80039,-10.64071,32.90223,-9.42247,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20260123-SpuhlerFieldMain-Private-1,98eecd00-f87e-11f0-83c7-67c79e5767a2,90.15494,,,9.29417,,,,,,,7624d708-6aeb-4e57-a7ff-5913e0b8ba04,2026-01-23,17:11:45.80,2026-01-23T12:11:45.8038784-05:00,2026-01-23T17:11:45.8038784Z,,v3,471300,471300,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,b357eb51-7882-4e6e-ba65-596db0360fcc,54.20517,-133.12133,16.45112,5.84471,-7.50157,-4.71123,-2.10327,7.05171,-5.32035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2026-01-23,12:12:05.43,1,4,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Clyne , Owen",1000230336,Left,GEO_PAT,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,91.69257,-1.614369,-3.80369,2300.736865,203.330503,12:45,5.89191,2.19515,6.08574,-11.07453,22.77832,9.25256,3.4718,-0.55798,81.79879,-3.836198,-2.143105,0.418764,105.54482,25.907868,23.800853,2915.314244,99.86406,54.13082,46.12111,401.13536,379.96367,26.597137,5.164313,-6.13985,12.72146,-1.90604,50,5.76142,8.42854,-132.65622,-3.97797,-10.67347,34.84239,-10.05916,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20260123-SpuhlerFieldMain-Private-1,a4996750-f87e-11f0-83c7-67c79e5767a2,90.00887,84.75168,,9.89378,,,,1.98191,3.47601,0.46547,7624d708-6aeb-4e57-a7ff-5913e0b8ba04,2026-01-23,17:12:05.43,2026-01-23T12:12:05.4317568-05:00,2026-01-23T17:12:05.4317568Z,FlyBall,v3,471300,471300,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,b6d46c04-747f-4edd-8e96-d5c3a3611ef7,54.41449,-133.81067,17.42119,5.8877,-3.64467,-5.02958,-2.19116,8.78219,-5.33673,192.782172,1.98423,127.3518,-29.42443,7.71369,-1.58918,0.25518,-0.03084,0.00262,-0.00011,3.4763,67.6261,-13.19779,-1.51389,0.94344,-0.31315,0.06632,-0.00773,0.00037,0.46578,56.18744,-8.84281,1.69093,-0.2601,0.03748,-0.00614,0.00081,-5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2026-01-23,12:12:49.99,2,1,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.71763,5.074822,0.150853,2452.075775,35.704138,7:15,5.83886,1.99469,5.15944,-72.90543,-18.90521,-15.30241,4.55299,0.86149,65.5929,-8.210262,-2.556016,0.528895,,,,,,,,,,,,7.46276,-10.37012,-1.99709,50,6.25982,0.36455,-107.61682,6.93678,8.36595,26.33108,-43.79921,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20260123-SpuhlerFieldMain-Private-1,bf393310-f87e-11f0-83c7-67c79e5767a2,71.26644,,,9.12473,,,,,,,7624d708-6aeb-4e57-a7ff-5913e0b8ba04,2026-01-23,17:12:49.99,2026-01-23T12:12:49.9926016-05:00,2026-01-23T17:12:49.9926016Z,,v3,471300,471300,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,1a307cea-a213-4a7c-bbb0-e34d9b03ea03,55.34001,-108.91554,13.16554,5.8644,9.09709,-21.8996,-2.0049,-0.04808,4.18298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2026-01-23,12:13:06.72,2,2,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.41206,-0.504723,-2.853588,2258.480451,203.658397,12:45,5.87363,2.10154,5.91257,-12.68863,23.17119,9.42213,4.34718,0.2359,78.6677,-3.078482,-1.165248,0.430998,,,,,,,,,,,,-5.89445,12.36233,-1.87717,50,5.82578,6.05718,-130.45572,-1.37806,-9.67987,39.44786,-11.8726,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20260123-SpuhlerFieldMain-Private-1,cb2654a0-f87e-11f0-83c7-67c79e5767a2,87.45384,,,11.74436,,,,,,,7624d708-6aeb-4e57-a7ff-5913e0b8ba04,2026-01-23,17:13:06.72,2026-01-23T12:13:06.7298304-05:00,2026-01-23T17:13:06.7298304Z,,v3,471300,471300,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,0da7b760-8934-4148-8c13-22ac1f22b713,54.57627,-131.83225,19.72393,5.86664,-0.96377,-5.9363,-2.09443,6.39495,-4.83993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2026-01-23,12:13:27.16,2,3,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,2,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.47012,-0.49479,-2.860187,2126.698658,167.787722,11:30,5.71775,2.19757,5.62372,-33.25557,10.78977,-1.93665,2.48412,-0.63521,72.32185,-6.719039,-3.205412,0.477663,,,,,,,,,,,,-0.11354,6.18016,-1.95221,50,5.65487,5.96159,-117.70633,-2.0732,-0.15387,29.43177,-23.79924,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20260123-SpuhlerFieldMain-Private-1,d562e000-f87e-11f0-83c7-67c79e5767a2,78.91016,,,9.14827,,,,,,,7624d708-6aeb-4e57-a7ff-5913e0b8ba04,2026-01-23,17:13:27.16,2026-01-23T12:13:27.1625728-05:00,2026-01-23T17:13:27.1625728Z,,v3,471300,471300,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,f562e36f-9107-4be2-b741-158a75ad56f4,54.87066,-118.91797,14.71589,5.72005,-1.09343,-11.89962,-2.19777,5.96793,-0.07694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2026-01-23,12:13:43.63,2,4,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.64978,-2.410106,-3.74606,2295.487284,200.625416,12:45,5.79114,1.94583,6.14717,-11.55111,23.49174,8.26874,2.59533,-0.83171,79.90462,-4.750488,-2.260233,0.42606,,,,,,,,,,,,-5.65386,13.38867,-1.66405,50,5.60098,8.20051,-130.85531,-5.71451,-9.44864,36.90656,-9.79922,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20260123-SpuhlerFieldMain-Private-1,df2cfa80-f87e-11f0-83c7-67c79e5767a2,88.46736,,,10.74516,,,,,,,7624d708-6aeb-4e57-a7ff-5913e0b8ba04,2026-01-23,17:13:43.63,2026-01-23T12:13:43.6384256-05:00,2026-01-23T17:13:43.6384256Z,,v3,471300,471300,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,525e2122-729a-4134-823f-17b513cb8325,54.34676,-132.07559,18.45328,5.78456,-5.39051,-4.89961,-1.94036,8.51292,-4.72432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2026-01-23,12:14:01.05,2,5,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,2,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.09824,-0.144299,-3.846868,2268.359101,147.683595,11:00,5.68361,2.11663,5.42355,-33.53238,9.9328,-5.41386,2.75378,-1.94334,74.28624,-6.304381,-4.805846,0.474507,,,,,,,,,,,,1.6311,5.46437,-1.77079,50,5.64769,8.11873,-117.4501,-1.41278,2.27543,22.51207,-24.55102,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20260123-SpuhlerFieldMain-Private-1,e98e24e0-f87e-11f0-83c7-67c79e5767a2,79.43503,,,6.812,,,,,,,7624d708-6aeb-4e57-a7ff-5913e0b8ba04,2026-01-23,17:14:01.05,2026-01-23T12:14:01.0592256-05:00,2026-01-23T17:14:01.0592256Z,,v3,471300,471300,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,32350e86-042a-4d92-a5ee-205212f5350a,55.07658,-118.41915,11.25603,5.68576,-0.35596,-12.27551,-2.11816,8.02078,1.13772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2026-01-23,12:14:20.91,2,6,"Rumberg, Logan",1000216384,Right,GEO_PAT,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.71428,-3.148676,-3.18547,2348.328567,206.220971,12:45,5.77514,2.04747,6.06481,-12.22772,21.80411,10.05398,1.83456,-0.06594,81.62441,-5.577245,-1.379304,0.419869,,,,,,,,,,,,-6.29087,12.71414,-1.80527,50,5.52378,6.93288,-132.5267,-7.56489,-10.88085,35.56919,-10.18338,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20260123-SpuhlerFieldMain-Private-1,f55f5a00-f87e-11f0-83c7-67c79e5767a2,89.7719,,,10.08987,,,,,,,7624d708-6aeb-4e57-a7ff-5913e0b8ba04,2026-01-23,17:14:20.91,2026-01-23T12:14:20.9130000-05:00,2026-01-23T17:14:20.9130000Z,,v3,471300,471300,,"Cowdrey, Vincent",1000469295,Right,GEO_PAT,a5153043-a3af-45eb-8891-b87f8150779c,54.43243,-133.71104,17.78459,5.77002,-7.22582,-5.09169,-2.04214,7.29518,-5.44043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.75902,,,1.081763,,,,0.28469,5.88812,0.74305,74.01266,5.52538,-50.76819,0.34677,74.07317,-5.53924,5.92147,13.91518,-13.21068,0.67562,-53.4389,5.45569,High,High,High,,,High,High,High
