PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,11:02:49.80,1,1,"Elliot, Daniel",1000023402,Right,GEO_PAT,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.13037,-2.17899,-2.324627,2057.902605,215.625108,1:15,6.20407,0.07333,4.68641,-17.91733,22.0208,14.74269,2.63913,-0.90675,77.79864,-5.548853,0.26076,0.454847,,,,,,,,,,,,-7.87776,11.82946,0.14908,50,5.96741,4.34963,-124.53985,-5.33088,-12.24623,27.39483,-13.78477,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-1,aff78f90-2378-11f0-ab64-072ddac54880,82.86837,,,8.33173,,,,,,,53c95b6e-8d7e-45bf-bbd6-1448733120c5,2025-04-27,15:02:49.80,2025-04-27T11:02:49.8094592-04:00,2025-04-27T15:02:49.8094592Z,,v3,471300,471418,26 April 2025 14:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,b154896a-07f2-4e94-b9dc-4038ff746385,55.8121,-125.81183,13.69742,6.20008,-4.69083,-6.89239,-0.06608,4.91824,-6.12312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,11:03:04.09,1,2,"Elliot, Daniel",1000023402,Right,GEO_PAT,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.70278,-1.22164,-1.781752,2229.550142,283.819959,3:30,6.21392,0.24252,4.64575,-48.30778,1.62858,1.56303,1.02662,-1.32095,69.74942,-9.948845,-1.507019,0.508604,,,,,,,,,,,,-1.41528,1.78087,-0.06163,50,6.0452,3.42473,-112.23837,-4.15906,-1.7526,25.84425,-29.96874,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-1,b8997dc0-2378-11f0-ab64-072ddac54880,74.1096,,,7.95335,,,,,,,53c95b6e-8d7e-45bf-bbd6-1448733120c5,2025-04-27,15:03:04.09,2025-04-27T11:03:04.0923136-04:00,2025-04-27T15:03:04.0923136Z,,v3,471300,471418,26 April 2025 14:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,c4133624-20ea-48fb-84a9-7e28e736df77,55.85282,-113.57806,12.92213,6.22053,-2.60557,-14.98437,-0.24151,3.51558,-0.8763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,11:03:19.76,1,3,"Elliot, Daniel",1000023402,Right,GEO_PAT,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.59219,-0.86695,-1.184808,2290.289725,90.837637,9:00,6.29912,0.00035,4.64915,-47.38739,1.87169,-9.37477,1.52613,-1.90688,70.69413,-9.393461,-2.83218,0.505143,,,,,,,,,,,,4.19229,1.72756,0.12986,50,6.16762,2.72495,-112.32857,-3.44589,5.28724,22.79858,-29.99528,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-1,c1dbcaa0-2378-11f0-ab64-072ddac54880,74.61731,,,6.89806,,,,,,,53c95b6e-8d7e-45bf-bbd6-1448733120c5,2025-04-27,15:03:19.76,2025-04-27T11:03:19.7650432-04:00,2025-04-27T15:03:19.7650432Z,,v3,471300,471418,26 April 2025 14:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,23e4f82c-71df-4cd9-9a4d-217af4602f6f,55.85073,-113.50984,11.39929,6.3059,-1.89173,-14.99764,-0.00423,2.451,2.64362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,11:03:37.20,1,4,"Elliot, Daniel",1000023402,Right,GEO_PAT,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.20061,-2.565519,-2.370369,2134.735974,217.13297,1:15,6.25959,0.00566,4.52693,-16.84922,24.70214,17.44418,2.40845,-0.7994,76.10404,-5.774031,0.679592,0.463942,,,,,,,,,,,,-9.37119,13.39639,0.22401,50,5.97738,4.27225,-122.99462,-6.05082,-14.02639,29.60155,-12.12286,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-1,cc538a40-2378-11f0-ab64-072ddac54880,81.24379,,,9.09657,,,,,,,53c95b6e-8d7e-45bf-bbd6-1448733120c5,2025-04-27,15:03:37.20,2025-04-27T11:03:37.2038144-04:00,2025-04-27T15:03:37.2038144Z,,v3,471300,471418,26 April 2025 14:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,5ca1c1a4-bb94-4a87-89ae-939bd27323d7,55.97293,-124.42384,14.80078,6.25539,-5.4655,-6.06143,0.00138,4.94948,-7.0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,11:03:59.48,1,5,"Elliot, Daniel",1000023402,Right,GEO_PAT,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.51887,-2.209368,-3.123973,2030.590095,220.650365,1:15,6.1767,0.20554,4.75929,-19.70844,21.058,16.72229,2.43501,-1.36636,76.66401,-5.919402,-0.189735,0.459539,85.01875,49.199572,61.973576,4924.713051,35.06607,107.2032,104.26099,243.24491,103.78413,78.286784,5.47786,-9.26056,11.51217,0.09252,50,5.93858,5.96267,-123.49947,-5.42494,-14.03151,28.93919,-14.73094,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-1,d9925920-2378-11f0-ab64-072ddac54880,82.02222,114.52013,,8.85486,,,,0.86818,3.40277,0.93171,53c95b6e-8d7e-45bf-bbd6-1448733120c5,2025-04-27,15:03:59.48,2025-04-27T11:03:59.4846208-04:00,2025-04-27T15:03:59.4846208Z,FlyBall,v3,471300,471418,26 April 2025 14:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,21fd76fc-c0b7-4894-9d53-f915defcb433,55.74008,-124.83727,14.4696,6.17363,-4.74396,-7.36547,-0.19812,6.61132,-7.01576,,0.88144,38.00147,-16.82167,3.91513,0.15935,-0.43191,0.12844,-0.01631,0.00078,3.38937,94.62465,-24.61704,3.00646,-0.81345,0.17796,-0.01739,-0.00018,9E-05,0.93396,71.86028,-12.62915,2.39702,-0.02257,-0.16951,0.05312,-0.00693,0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2025-04-27,11:04:20.01,1,6,"Elliot, Daniel",1000023402,Right,GEO_PAT,"DePino, Anthony",1000121040,Right,RHO_RAM,Undefined,1,Top,0,2,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,77.42715,-1.379039,-0.517293,2290.174055,102.386053,9:30,6.26978,0.02465,4.74702,-45.99861,2.04201,-3.29536,1.12821,-0.74064,72.3367,-9.599166,-1.097888,0.498856,69.28993,11.242559,-33.903009,3055.492642,,,,104.26403,101.62708,-36.812199,1.117731,1.51854,1.65232,0.03051,50,6.08982,1.14721,-112.47934,-4.36764,1.97037,17.94906,-30.03008,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-1,e5dd7930-2378-11f0-ab64-072ddac54880,75.55768,6.37983,,5.09045,,,,3.40741,1.39388,0.72576,53c95b6e-8d7e-45bf-bbd6-1448733120c5,2025-04-27,15:04:20.01,2025-04-27T11:04:20.0163840-04:00,2025-04-27T15:04:20.0163840Z,GroundBall,v3,471300,471418,26 April 2025 14:00-uri@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,9416521a-de31-4f7f-8f01-4675d3b31c61,55.75842,-113.39453,8.97453,6.27348,-2.83647,-15.01504,-0.02542,1.04675,0.98519,79.256664,3.40741,82.72851,-11.18925,1.41275,-0.27735,0.01742,0.00816,-0.0053,0.00119,1.39388,19.81312,-20.50589,1.79727,-0.3377,0.05779,0.00062,-0.00365,0.00087,0.72576,-55.59755,-1.63622,0.91025,-0.21955,0.02183,0.02258,-0.01413,0.00304,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-04-27,11:06:59.98,1,1,"Perry, Braeden",1000191401,Right,RHO_RAM,"Butler, Jake",1000176047,Right,GEO_PAT,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.16695,-1.489352,-5.438911,2305.26891,217.767578,1:15,5.99343,1.74549,6.27398,-15.21524,20.55497,14.80835,3.34598,-2.04957,79.31796,-4.482503,-2.780574,0.430459,,,,,,,,,,,,-9.46335,11.51221,-1.34836,50,5.87503,11.61347,-128.66647,-3.69897,-15.46988,32.87867,-13.35484,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-1,450d7450-2379-11f0-ab64-072ddac54880,87.56331,,,9.849,,,,,,,53c95b6e-8d7e-45bf-bbd6-1448733120c5,2025-04-27,15:06:59.98,2025-04-27T11:06:59.9800832-04:00,2025-04-27T15:06:59.9800832Z,,v3,471300,471418,26 April 2025 14:00-uri@georgemas,"Toro, Nick",1000242929,Right,RHO_RAM,8ce392e2-0b5b-43fd-bc2c-ad1f4cb21cc8,54.222,-129.74085,16.43933,5.98877,-3.26258,-6.67742,-1.73612,12.11898,-7.73494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,11:07:19.17,1,2,"Perry, Braeden",1000191401,Right,RHO_RAM,"Butler, Jake",1000176047,Right,GEO_PAT,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.81253,-2.113771,-3.510398,2351.367382,215.124981,1:15,5.8292,1.886,6.29256,-15.61906,18.98288,12.48375,2.57512,-0.31274,81.1483,-5.140029,-1.258535,0.423372,46.35005,7.020474,168.471971,3571.315446,,,,43.85461,43.85461,169.674477,0.644457,-7.49957,10.8356,-1.63262,50,5.66536,7.45501,-130.08924,-5.19675,-12.70858,30.1263,-13.81235,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-1,50805cd0-2379-11f0-ab64-072ddac54880,89.02921,3.24576,,8.66424,,,,,,,53c95b6e-8d7e-45bf-bbd6-1448733120c5,2025-04-27,15:07:19.17,2025-04-27T11:07:19.1706112-04:00,2025-04-27T15:07:19.1706112Z,GroundBall,v3,471300,471418,26 April 2025 14:00-uri@georgemas,"Toro, Nick",1000242929,Right,RHO_RAM,8b58178a-d8b3-4f61-b929-e3f98ceb4b05,54.2062,-131.0597,15.06315,5.8256,-4.75181,-6.90618,-1.87936,7.86439,-6.35429,319.108824,-1.95032,-66.1092,3.40701,-0.05109,0.05404,-0.00082,-0.00192,2E-05,0,2.33454,8.30878,-19.17695,1.10999,-0.15355,0.04575,-0.00344,-7E-05,-0.00015,0.45103,13.48375,-2.99821,-0.10462,-0.03864,-0.00427,0.00224,0.00032,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-04-27,11:07:48.19,1,3,"Perry, Braeden",1000191401,Right,RHO_RAM,"Butler, Jake",1000176047,Right,GEO_PAT,Undefined,1,Bottom,0,1,1,Cutter,Slider,InPlay,Undefined,FlyBall,Out,1,0,,84.19129,-0.383557,-1.944032,2330.099139,198.169545,12:30,5.86619,1.96158,5.52605,-34.05081,6.82083,1.72445,2.66982,0.28707,75.52183,-6.697336,-1.63665,0.460132,77.20262,32.043373,-18.859838,3029.065738,105.06696,55.83403,-32.57194,287.89401,283.48642,-16.088262,4.333268,-1.55276,3.99453,-1.79363,50,5.81034,4.06603,-121.91016,-1.97799,-2.28116,29.28373,-26.30561,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-1,61e9e9a0-2379-11f0-ab64-072ddac54880,81.91659,63.20129,,8.66946,,,,2.57111,2.85629,-0.33358,53c95b6e-8d7e-45bf-bbd6-1448733120c5,2025-04-27,15:07:48.19,2025-04-27T11:07:48.1960448-04:00,2025-04-27T15:07:48.1960448Z,FlyBall,v3,471300,471418,26 April 2025 14:00-uri@georgemas,"Toro, Nick",1000242929,Right,RHO_RAM,8e6a79d7-5241-4dcc-9d69-67b0af56aaa3,54.97377,-123.0991,14.64186,5.86896,-0.90996,-13.1528,-1.96059,4.15865,-1.14058,194.111686,2.57268,90.78723,-13.79505,3.0231,-0.33851,-0.05014,0.02597,-0.00361,0.00017,2.85519,60.09911,-15.86405,0.45111,0.02932,-0.04726,0.02332,-0.00476,0.00034,-0.33428,-31.00785,7.09406,-1.8548,0.29729,-0.00434,-0.00925,0.00162,-9E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-04-27,11:08:22.20,2,1,"Perry, Braeden",1000191401,Right,RHO_RAM,"Alberti, Lucas",1000145512,Right,GEO_PAT,Undefined,1,Bottom,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.56174,-1.271701,-4.45255,2409.952937,226.572378,1:30,5.95194,1.78872,6.23301,-15.8819,17.63792,17.32938,3.45145,-0.88331,82.30506,-4.349162,-1.335027,0.416699,,,,,,,,,,,,-10.30556,9.86264,-1.46344,50,5.84862,9.56514,-132.49346,-3.36463,-18.05031,32.18177,-14.89951,GEO_PAT,RHO_RAM,SpuhlerFieldMain,D1,A10,20250427-SpuhlerFieldMain-1,7613a7e0-2379-11f0-ab64-072ddac54880,90.45488,,,9.25668,,,,,,,53c95b6e-8d7e-45bf-bbd6-1448733120c5,2025-04-27,15:08:22.20,2025-04-27T11:08:22.2008320-04:00,2025-04-27T15:08:22.2008320Z,,v3,471300,471418,26 April 2025 14:00-uri@georgemas,"Toro, Nick",1000242929,Right,RHO_RAM,25de832a-7515-4a10-871d-54117391e633,54.26611,-133.52564,16.09089,5.94887,-2.88675,-7.44976,-1.77951,10.14408,-9.02515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
