PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-13,14:48:20.15,1,1,"Bilo, Michael",10091065,Right,GEO_PAT,"Canody, Andrew",10032066,Right,GEO_PAT,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.30742,-1.130535,-1.5876,1935.547976,221.219401,1:15,6.09356,1.2387,4.7987,-20.34859,19.08391,15.51446,3.32597,1.02675,78.16399,-4.929592,1.140417,0.451959,,,,,,,,,,,,-8.04067,10.09233,-1.09449,50,5.96409,2.72697,-124.97884,-3.16628,-12.61898,27.01209,-16.33521,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250313-SpuhlerFieldMain-Private-1,bc336280-003b-11f0-b670-a3e9ac9664ad,83.398,,,8.14344,,,,,,,9364534c-e36e-4202-ab1a-8e5bb1df1fdd,2025-03-13,18:48:20.15,2025-03-13T14:48:20.1590272-04:00,2025-03-13T18:48:20.1590272Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,9cb3c7da-29ad-4d21-991a-b0f1b2af5f6a,55.70017,-126.20482,13.50604,6.09097,-2.42488,-8.16761,-1.23125,3.2997,-6.30949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-13,14:48:35.83,1,2,"Bilo, Michael",10091065,Right,GEO_PAT,"Canody, Andrew",10032066,Right,GEO_PAT,Undefined,1,Top,0,1,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.38253,-1.840879,-2.332189,1979.634331,215.702142,1:15,6.09653,1.23747,4.93299,-21.5421,17.21969,11.49949,2.55917,-0.01003,79.21245,-5.821633,-0.306133,0.448098,,,,,,,,,,,,-6.33276,9.37567,-1.0205,50,5.89986,4.58038,-125.21818,-4.79074,-10.09281,24.38616,-17.23158,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250313-SpuhlerFieldMain-Private-1,c5869f50-003b-11f0-b670-a3e9ac9664ad,84.11644,,,7.17008,,,,,,,9364534c-e36e-4202-ab1a-8e5bb1df1fdd,2025-03-13,18:48:35.83,2025-03-13T14:48:35.8318080-04:00,2025-03-13T18:48:35.8318080Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,bfbe3248-5050-4607-bd21-14b3d3980cb2,55.56936,-126.29815,12.19308,6.09513,-4.02762,-8.61579,-1.23324,5.02736,-5.0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-13,14:48:56.39,1,3,"Bilo, Michael",10091065,Right,GEO_PAT,"Canody, Andrew",10032066,Right,GEO_PAT,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.94787,-3.01421,-3.319987,2034.312019,223.323198,1:30,6.1868,1.09526,5.04965,-20.64816,16.90635,14.75497,1.61559,-0.81021,80.25188,-6.842643,-0.717007,0.441065,,,,,,,,,,,,-8.32245,9.63268,-0.7911,50,5.88297,6.71354,-127.23151,-7.43594,-13.61153,26.64907,-16.41958,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250313-SpuhlerFieldMain-Private-1,d1b313d0-003b-11f0-b670-a3e9ac9664ad,85.45779,,,7.69599,,,,,,,9364534c-e36e-4202-ab1a-8e5bb1df1fdd,2025-03-13,18:48:56.39,2025-03-13T14:48:56.3969024-04:00,2025-03-13T18:48:56.3969024Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,eba88f0a-4f30-4064-a0ff-6b51340c67db,55.453,-128.36858,13.32453,6.1853,-6.73534,-8.20979,-1.08995,7.29432,-6.80576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-13,14:49:13.55,1,4,"Bilo, Michael",10091065,Right,GEO_PAT,"Canody, Andrew",10032066,Right,GEO_PAT,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.30268,-2.893522,-4.115952,2024.716258,216.34911,1:15,6.15568,1.05275,4.95996,-18.3484,19.8554,13.68127,1.88343,-1.70262,79.74819,-6.315252,-1.711029,0.444861,,,,,,,,,,,,-7.92941,11.00327,-0.66537,50,5.86012,8.45768,-126.20474,-7.01695,-12.79985,25.47775,-14.41235,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250313-SpuhlerFieldMain-Private-1,dbef5110-003b-11f0-b670-a3e9ac9664ad,84.72851,,,7.55449,,,,,,,9364534c-e36e-4202-ab1a-8e5bb1df1fdd,2025-03-13,18:49:13.55,2025-03-13T14:49:13.5597056-04:00,2025-03-13T18:49:13.5597056Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,137ca1f6-63fd-4d82-b7b8-22b8b5a5c1a4,55.54226,-127.31868,12.73888,6.15314,-6.38682,-7.20617,-1.04739,9.01731,-6.39992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-13,14:49:29.51,1,5,"Bilo, Michael",10091065,Right,GEO_PAT,"Canody, Andrew",10032066,Right,GEO_PAT,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.80381,-2.933953,-2.492048,2019.526608,215.839747,1:15,6.15904,1.20569,5.0671,-17.73666,20.85056,14.09682,1.90941,0.02909,78.9317,-6.267405,-0.002611,0.447088,,,,,,,,,,,,-7.75874,11.61587,-0.98068,50,5.86661,4.83266,-125.6224,-7.01739,-12.33252,26.71051,-13.7106,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250313-SpuhlerFieldMain-Private-1,e587d440-003b-11f0-b670-a3e9ac9664ad,84.30649,,,7.87211,,,,,,,9364534c-e36e-4202-ab1a-8e5bb1df1fdd,2025-03-13,18:49:29.51,2025-03-13T14:49:29.5142400-04:00,2025-03-13T18:49:29.5142400Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,bdc70ff5-0792-4a41-a1ae-1e427e00fab0,55.43445,-126.77263,13.35525,6.15609,-6.42696,-6.8553,-1.20022,5.36373,-6.16626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-13,14:49:47.47,1,6,"Bilo, Michael",10091065,Right,GEO_PAT,"Canody, Andrew",10032066,Right,GEO_PAT,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.94732,3.003621,-0.261428,1661.109422,26.781832,7:00,5.95771,1.31459,4.50477,-54.76259,-3.11047,-2.47024,4.25852,0.85966,68.78843,-6.858216,-0.693454,0.517268,,,,,,,,,,,,1.15469,-2.24677,-1.28459,50,6.2198,0.6006,-109.91153,3.78667,1.39536,21.68924,-34.8891,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250313-SpuhlerFieldMain-Private-1,f0323ca0-003b-11f0-b670-a3e9ac9664ad,72.86833,,,7.15888,,,,,,,9364534c-e36e-4202-ab1a-8e5bb1df1fdd,2025-03-13,18:49:47.47,2025-03-13T14:49:47.4746368-04:00,2025-03-13T18:49:47.4746368Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,c37518d6-1515-4e1e-aac1-2703e96eb66d,56.00052,-111.08932,10.84462,5.96273,5.68126,-17.44455,-1.31515,0.52483,0.69768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-13,14:50:03.63,1,7,"Bilo, Michael",10091065,Right,GEO_PAT,"Canody, Andrew",10032066,Right,GEO_PAT,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.62757,-1.741861,-2.288731,2018.277103,217.041899,1:15,6.15824,1.20098,4.91652,-18.08481,21.07722,14.83292,3.00231,0.27176,78.14692,-5.156423,0.32357,0.450406,,,,,,,,,,,,-8.12497,11.39784,-0.99082,50,5.97413,4.33892,-125.37403,-4.40974,-12.76405,28.42582,-14.26843,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250313-SpuhlerFieldMain-Private-1,f9daec70-003b-11f0-b670-a3e9ac9664ad,83.6855,,,8.48065,,,,,,,9364534c-e36e-4202-ab1a-8e5bb1df1fdd,2025-03-13,18:50:03.63,2025-03-13T14:50:03.6350976-04:00,2025-03-13T18:50:03.6350976Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,0af3714a-65b8-49e6-bcc3-d5b533d33c7d,55.58518,-126.63401,14.21291,6.15558,-3.77729,-7.13422,-1.19568,4.90469,-6.38202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-13,14:50:24.39,1,8,"Bilo, Michael",10091065,Right,GEO_PAT,"Canody, Andrew",10032066,Right,GEO_PAT,Undefined,1,Top,0,3,2,Fastball,Sinker,HitByPitch,Walk,Undefined,Undefined,0,0,,87.0092,-1.166256,-0.397431,2013.46794,221.932405,1:30,6.14651,1.16501,4.89688,-18.29532,20.53076,17.18379,3.51855,2.22105,78.46206,-4.616167,2.629877,0.44847,,,,,,,,,,,,-8.78634,10.97942,-1.14186,50,6.01817,0.10624,-126.05908,-3.18114,-13.92047,29.30864,-14.77901,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250313-SpuhlerFieldMain-Private-1,063b6940-003c-11f0-b670-a3e9ac9664ad,84.04677,,,8.54714,,,,,,,9364534c-e36e-4202-ab1a-8e5bb1df1fdd,2025-03-13,18:50:24.39,2025-03-13T14:50:24.3934208-04:00,2025-03-13T18:50:24.3934208Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,6ad807b3-51b1-46ae-b1b2-7f3fcb3ba069,55.60631,-127.35587,14.65432,6.14445,-2.52723,-7.3895,-1.16019,0.72217,-6.96023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-13,14:50:48.72,2,1,"Bilo, Michael",10091065,Right,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.0707,-1.263924,-3.438244,1772.703489,9.763058,6:15,6.04601,1.28615,4.79122,-51.11522,1.75299,-0.03909,0.58617,-1.97962,68.11719,-10.470738,-3.445119,0.523322,,,,,,,,,,,,-1.14984,1.73665,-0.94253,50,5.87514,6.51833,-108.4671,-4.15564,-1.34101,22.69879,-30.14867,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250313-SpuhlerFieldMain-Private-1,14ad60f0-003c-11f0-b670-a3e9ac9664ad,72.02537,,,6.95351,,,,,,,9364534c-e36e-4202-ab1a-8e5bb1df1fdd,2025-03-13,18:50:48.72,2025-03-13T14:50:48.7290368-04:00,2025-03-13T18:50:48.7290368Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,cc76312b-457c-466f-89a2-1c29b3007eb5,55.71069,-109.65566,11.3494,6.05141,-2.57699,-15.07433,-1.28568,6.58855,-0.67051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-13,14:51:06.94,2,2,"Bilo, Michael",10091065,Right,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,84.92072,-2.395814,-3.432567,2006.583903,216.388418,1:15,6.16837,1.19941,4.94417,-18.67458,22.00757,15.14434,2.34253,-0.7865,76.87062,-5.912312,-0.767882,0.459064,97.57184,12.535962,13.359689,1348.53949,105.01397,17.76422,32.74231,241.69483,241.69483,21.422412,2.195987,-8.57422,12.04312,-0.87901,50,5.92077,6.68905,-122.77478,-5.74409,-12.96918,26.35737,-13.95792,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250313-SpuhlerFieldMain-Private-1,1f8ae740-003c-11f0-b670-a3e9ac9664ad,82.10713,18.14898,,8.0501,,,,1.09831,2.34703,0.77011,9364534c-e36e-4202-ab1a-8e5bb1df1fdd,2025-03-13,18:51:06.94,2025-03-13T14:51:06.9455360-04:00,2025-03-13T18:51:06.9455360Z,LineDrive,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,6605c382-b052-494a-94e3-93a90135c93a,55.55721,-123.96206,13.17868,6.16535,-5.11535,-6.97896,-1.19348,7.27325,-6.48459,245.873118,1.0983,135.91341,-22.86513,4.83134,-0.76921,-0.065,0.11052,-0.03666,0.0044,2.34705,31.06055,-15.85935,0.69964,-0.2955,0.31927,-0.1876,0.05501,-0.00634,0.77013,32.27718,6.75044,-2.34478,0.29534,0.28453,-0.22456,0.06938,-0.00813,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
