PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-02,13:18:38.52,1,1,"Madigan III, Michael",10289060,Left,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,76.13114,0.05706,-2.745353,1751.608415,261.650243,2:45,5.54429,1.91052,4.79843,-46.44573,3.83355,15.23261,1.72795,0.57635,69.95795,-8.327557,-0.065505,0.510348,,,,,,,,,,,,-8.30823,2.29571,-1.65083,50,5.5095,4.67938,-110.35581,-1.52017,-10.24736,19.6067,-29.34253,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250402-SpuhlerFieldMain-Private-1,86418160-0fe6-11f0-81ff-cd358c0e0d09,73.85642,,,6.17319,,,,,,,fb265006-3129-408d-b4ee-2139699d006d,2025-04-02,17:18:38.52,2025-04-02T13:18:38.5220000-04:00,2025-04-02T17:18:38.5220000Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,229e5dc0-d91b-4df1-ad3c-a75107a1d5c0,55.70532,-111.36485,9.80335,5.54888,-0.01009,-14.67126,-1.90522,5.20676,-5.12368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-02,13:19:04.32,1,2,"Madigan III, Michael",10289060,Left,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,83.38406,-0.78257,-2.120809,2074.559696,223.061775,1:30,5.80493,1.96423,4.80219,-27.93301,13.77453,11.67615,2.7351,0.92674,76.59654,-5.889166,-0.067912,0.464813,,,,,,,,,,,,-6.28859,7.36634,-1.76353,50,5.70316,3.95431,-120.91937,-2.67199,-9.36309,22.33746,-21.20633,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250402-SpuhlerFieldMain-Private-1,9582d700-0fe6-11f0-81ff-cd358c0e0d09,81.09156,,,6.78752,,,,,,,fb265006-3129-408d-b4ee-2139699d006d,2025-04-02,17:19:04.32,2025-04-02T13:19:04.3230000-04:00,2025-04-02T17:19:04.3230000Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,7a6b4e35-bb5f-4f96-a47c-b324a30dd65d,55.69919,-121.96764,11.16873,5.8052,-1.6768,-10.60316,-1.95941,4.39371,-4.68155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-02,13:19:18.35,1,3,"Madigan III, Michael",10289060,Left,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,76.29798,-1.195426,-3.934625,1674.828994,275.238658,3:15,5.379,1.92651,4.97881,-49.15219,0.22929,12.98048,0.1511,-0.71379,71.04419,-10.00988,-1.644767,0.505771,,,,,,,,,,,,-7.46284,0.79335,-1.55736,50,5.22259,7.10072,-110.60539,-4.02343,-9.3379,17.86627,-31.18138,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250402-SpuhlerFieldMain-Private-1,9e009b60-0fe6-11f0-81ff-cd358c0e0d09,74.52477,,,5.25379,,,,,,,fb265006-3129-408d-b4ee-2139699d006d,2025-04-02,17:19:18.35,2025-04-02T13:19:18.3520000-04:00,2025-04-02T17:19:18.3520000Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,51c1de61-49ed-4c2c-9ce7-5a9782f24054,55.5266,-111.49454,8.93313,5.38421,-2.47163,-15.59069,-1.9223,7.56543,-4.66895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-02,13:19:35.53,1,4,"Madigan III, Michael",10289060,Left,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,79.13539,0.458416,-2.799726,1901.942858,224.464018,1:30,5.48475,1.9319,5.33795,-38.7216,6.70311,5.23229,2.68857,-0.2609,72.81635,-6.622883,-1.871503,0.485085,,,,,,,,,,,,-3.35803,3.66981,-1.68284,50,5.49843,5.40409,-114.79913,-0.38585,-4.50363,20.26045,-27.2523,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250402-SpuhlerFieldMain-Private-1,a82272d0-0fe6-11f0-81ff-cd358c0e0d09,77.70282,,,6.31904,,,,,,,fb265006-3129-408d-b4ee-2139699d006d,2025-04-02,17:19:35.53,2025-04-02T13:19:35.5370000-04:00,2025-04-02T17:19:35.5370000Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,fee365a3-6b92-4384-86d8-dfb754324ac8,55.16376,-115.70687,10.13023,5.48837,0.83516,-13.62615,-1.92948,5.60588,-2.25182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-02,13:19:51.78,1,5,"Madigan III, Michael",10289060,Left,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,78.34419,-0.608828,-2.157528,2070.215557,37.451904,7:15,5.55263,1.928,4.50425,-51.47948,-3.95445,-4.04453,0.68218,-0.46562,73.02104,-9.751433,-2.866108,0.496172,,,,,,,,,,,,1.45075,-1.45713,-1.6976,50,5.43885,4.45339,-113.70481,-3.17375,1.91787,18.93597,-34.10035,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250402-SpuhlerFieldMain-Private-1,b1eb54d0-0fe6-11f0-81ff-cd358c0e0d09,75.96644,,,5.32316,,,,,,,fb265006-3129-408d-b4ee-2139699d006d,2025-04-02,17:19:51.78,2025-04-02T13:19:51.7850000-04:00,2025-04-02T17:19:51.7850000Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,cfe8e15e-e81c-4851-81dd-6de9a7c0f895,56.00145,-114.69991,9.46799,5.55855,-1.38175,-17.05017,-1.92898,4.3526,0.95894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-02,13:20:28.79,1,6,"Madigan III, Michael",10289060,Left,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Undefined,Sinker,Undefined,Undefined,Undefined,Undefined,0,0,,87.39493,-1.82117,-4.102866,2111.080549,222.082805,1:30,5.61269,1.94006,5.14792,-23.13517,14.6167,12.10449,1.9651,-0.9208,79.97237,-6.094773,-1.967417,0.442222,,,,,,,,,,,,-7.13288,8.13453,-1.56516,50,5.42433,8.52374,-126.47536,-4.85148,-11.58008,25.2409,-18.96785,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250402-SpuhlerFieldMain-Private-1,c7dcdac0-0fe6-11f0-81ff-cd358c0e0d09,85.23414,,,7.42255,,,,,,,fb265006-3129-408d-b4ee-2139699d006d,2025-04-02,17:20:28.79,2025-04-02T13:20:28.7920000-04:00,2025-04-02T17:20:28.7920000Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,1c090a2b-1dc5-4d10-982b-10bb12a0eca5,55.35352,-127.5393,12.62045,5.61197,-4.05196,-9.48393,-1.93474,9.01186,-5.79004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-02,13:20:40.98,1,7,"Madigan III, Michael",10289060,Left,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,84.1495,-1.45656,-2.604137,2108.985122,245.552952,2:15,5.46747,1.89288,5.00601,-31.22517,9.72615,18.43552,1.48866,0.96917,76.93581,-7.160975,0.651035,0.46058,,,,,,,,,,,,-9.83099,5.64012,-1.65808,50,5.30246,4.72114,-121.92763,-4.24984,-14.77282,24.37374,-23.69876,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250402-SpuhlerFieldMain-Private-1,cf21a9f0-0fe6-11f0-81ff-cd358c0e0d09,81.83683,,,7.21369,,,,,,,fb265006-3129-408d-b4ee-2139699d006d,2025-04-02,17:20:40.98,2025-04-02T13:20:40.9820000-04:00,2025-04-02T17:20:40.9820000Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,0447838c-b6b9-4cc6-812e-23bce4b4d41e,55.49552,-123.0213,12.18687,5.4693,-3.18646,-11.84938,-1.8848,5.38401,-7.38641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-02,13:20:53.05,1,8,"Madigan III, Michael",10289060,Left,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,79.97128,-1.248851,-3.845,1952.85672,223.806546,1:30,5.41589,1.94121,5.33359,-36.58439,7.86248,6.28394,1.19259,-1.14826,73.99862,-7.910456,-2.731379,0.479835,,,,,,,,,,,,-4.13484,4.6676,-1.59801,50,5.27643,7.5392,-115.91487,-3.77229,-5.67326,19.95128,-25.76978,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250402-SpuhlerFieldMain-Private-1,d651dfb0-0fe6-11f0-81ff-cd358c0e0d09,78.55289,,,5.97266,,,,,,,fb265006-3129-408d-b4ee-2139699d006d,2025-04-02,17:20:53.05,2025-04-02T13:20:53.0520000-04:00,2025-04-02T17:20:53.0520000Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,f12bd28b-0fae-4f0a-a7c2-f0e82fdd6ee4,55.16897,-116.80116,9.97564,5.41858,-2.62752,-12.88489,-1.93852,7.79122,-2.83663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-02,13:21:09.66,1,9,"Madigan III, Michael",10289060,Left,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Undefined,Curveball,Undefined,Undefined,Undefined,Undefined,0,0,,79.16829,-0.776197,-0.968966,2038.532762,42.90484,7:30,5.45815,1.8873,4.72939,-48.37377,-2.70886,-3.57933,0.69037,0.66955,74.40657,-9.392036,-1.599303,0.486365,,,,,,,,,,,,1.56413,-0.88532,-1.78614,50,5.33596,2.09389,-115.12104,-3.37419,2.14073,17.39272,-33.38575,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250402-SpuhlerFieldMain-Private-1,e057a3a0-0fe6-11f0-81ff-cd358c0e0d09,77.49821,,,4.76171,,,,,,,fb265006-3129-408d-b4ee-2139699d006d,2025-04-02,17:21:09.66,2025-04-02T13:21:09.6660000-04:00,2025-04-02T17:21:09.6660000Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,57c3c13a-261a-419e-a18c-c5ae12042e70,55.77716,-115.99058,8.69636,5.46293,-1.70509,-16.69287,-1.88814,1.98687,1.07037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-02,13:21:31.83,1,10,"Madigan III, Michael",10289060,Left,GEO_PAT,"Blanchard, Evan",10073877,Right,GEO_PAT,Undefined,1,Top,0,0,0,Undefined,Changeup,Undefined,Undefined,Undefined,Undefined,0,0,,78.00996,-0.388194,-3.277528,1840.212266,269.014072,3:00,5.4458,1.92391,5.19111,-45.60148,1.79697,14.05099,1.27988,0.00806,71.48173,-8.671208,-0.788618,0.495511,,,,,,,,,,,,-8.00626,1.42158,-1.63064,50,5.37493,5.91797,-113.04919,-2.33183,-10.31966,21.37782,-30.34173,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250402-SpuhlerFieldMain-Private-1,ed88b6e0-0fe6-11f0-81ff-cd358c0e0d09,76.06777,,,6.52823,,,,,,,fb265006-3129-408d-b4ee-2139699d006d,2025-04-02,17:21:31.83,2025-04-02T13:21:31.8310000-04:00,2025-04-02T17:21:31.8310000Z,,v3,471300,471300,,"Blanchard, Evan",10073877,Right,GEO_PAT,d0d84c2e-8a8b-4e69-9e3f-711893698e20,55.31248,-114.04937,10.68891,5.45082,-0.91227,-15.17087,-1.91882,6.40078,-5.15983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
