PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-28,14:02:29.43,1,1,"Lavin, Sam",1000364332,Right,GEO_PAT,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.8352,-2.405626,0.472682,2117.649672,181.992114,12:00,6.37508,0.14201,6.16317,-17.96442,17.603,0.56717,2.65433,0.62595,80.17816,-5.849765,0.575028,0.429237,,,,,,,,,,,,-0.13902,10.23453,-0.17814,50,6.18321,-1.08633,-128.79882,-5.89913,-0.22998,30.51926,-15.24139,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250228-SpuhlerFieldMain-1,8fb5aea0-f606-11ef-944d-5fce8e3e8e74,87.81256,,,8.65704,,,,,,,2d539fbf-71ba-42e3-95e4-8d61eda7ef44,2025-02-28,19:02:29.43,2025-02-28T14:02:29.4327808-05:00,2025-02-28T19:02:29.4327808Z,,v3,471300,4164,28 February 2025 14:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,7560240b-f396-488e-8847-3c7ff566e3d6,54.33503,-129.82196,15.25963,6.37241,-5.38817,-7.6207,-0.14185,-1.07862,-0.11499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-28,14:02:43.55,1,2,"Lavin, Sam",1000364332,Right,GEO_PAT,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,0,0,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.30284,-0.59758,-0.469195,2043.543412,108.680171,9:30,6.33745,0.07384,5.96928,-38.76018,3.74843,-6.79969,2.55333,-0.92784,74.05929,-7.77434,-1.693181,0.469256,,,,,,,,,,,,3.33272,2.56449,-0.03297,50,6.26882,1.22987,-118.02897,-2.46305,4.65128,24.69597,-28.59495,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250228-SpuhlerFieldMain-1,981e1640-f606-11ef-944d-5fce8e3e8e74,80.32382,,,7.24355,,,,,,,2d539fbf-71ba-42e3-95e4-8d61eda7ef44,2025-02-28,19:02:43.55,2025-02-28T14:02:43.5551744-05:00,2025-02-28T19:02:43.5551744Z,,v3,471300,4164,28 February 2025 14:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,07cfe7df-6fb1-466f-8898-18561f607beb,54.53118,-118.97328,12.34799,6.34209,-1.36966,-14.29748,-0.0766,1.05202,2.32564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-28,14:03:01.44,1,3,"Lavin, Sam",1000364332,Right,GEO_PAT,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.18925,-0.848546,0.644108,2074.020556,177.51007,12:00,6.39915,-0.08964,5.76206,-17.293,17.52489,-0.70976,4.16813,0.45078,81.62191,-4.146697,0.517036,0.424691,,,,,,,,,,,,0.55598,9.51894,0.03668,50,6.31847,-1.43934,-130.83723,-2.45437,0.95461,30.04992,-15.83035,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250228-SpuhlerFieldMain-1,a2c152b0-f606-11ef-944d-5fce8e3e8e74,88.75269,,,8.56735,,,,,,,2d539fbf-71ba-42e3-95e4-8d61eda7ef44,2025-02-28,19:03:01.44,2025-02-28T14:03:01.4409216-05:00,2025-02-28T19:03:01.4409216Z,,v3,471300,4164,28 February 2025 14:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,4b1d8045-0e09-4156-916d-992b46b799ba,54.73673,-131.92065,15.02496,6.39667,-1.88362,-7.91518,0.0892,-1.47376,0.4773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-28,14:03:17.80,1,4,"Lavin, Sam",1000364332,Right,GEO_PAT,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,0,1,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,81.93514,0.528036,-0.17738,2051.390023,96.739309,9:15,6.33188,0.11612,5.98368,-39.21227,1.97429,-6.5302,3.55367,-0.59249,75.59039,-6.706313,-1.352488,0.461901,,,,,,,,,,,,3.30433,1.26354,-0.09855,50,6.35192,0.61872,-119.15414,-0.16716,4.77662,21.71627,-30.3475,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250228-SpuhlerFieldMain-1,ac8db720-f606-11ef-944d-5fce8e3e8e74,81.60283,,,6.34475,,,,,,,2d539fbf-71ba-42e3-95e4-8d61eda7ef44,2025-02-28,19:03:17.80,2025-02-28T14:03:17.8090000-05:00,2025-02-28T19:03:17.8090000Z,,v3,471300,4164,28 February 2025 14:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,afc8d86b-1dc9-4f4b-89d3-80b07d9546aa,54.51934,-119.97498,10.85813,6.33656,0.97993,-15.17375,-0.11852,0.43818,2.38831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.45102,,,0.905737,,,,1.39984,5.27778,2.30775,70.41003,5.19745,-54.37249,1.43267,81.31704,-5.70049,5.29704,11.28146,-12.57806,2.20867,-72.30823,10.86994,High,High,High,,,High,High,High
5,2025-02-28,14:03:42.41,2,1,"Lavin, Sam",1000364332,Right,GEO_PAT,"Caufield, Casey",1000121884,Left,MON_HAW,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.42803,-2.846943,-1.074246,2199.267966,182.821931,12:00,6.33423,-0.02677,6.30155,-17.80245,15.2043,0.70791,2.22492,-0.9577,84.48644,-6.183426,-0.946183,0.413497,,,,,,,,,,,,-0.60693,8.84079,0.10534,50,6.11609,2.43989,-131.56492,-7.0726,-1.08618,22.41061,-16.3526,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250228-SpuhlerFieldMain-1,bb3082d0-f606-11ef-944d-5fce8e3e8e74,91.15524,,,5.94159,,,,,,,2d539fbf-71ba-42e3-95e4-8d61eda7ef44,2025-02-28,19:03:42.41,2025-02-28T14:03:42.4147456-05:00,2025-02-28T19:03:42.4147456Z,,v3,471300,4164,28 February 2025 14:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,058c3bb0-dca4-4d2e-aae7-dc554ee4f4cc,54.20346,-132.27899,11.20531,6.33314,-6.55155,-8.1763,0.02705,2.47449,-0.54309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-28,14:03:58.22,2,2,"Lavin, Sam",1000364332,Right,GEO_PAT,"Caufield, Casey",1000121884,Left,MON_HAW,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.7429,-3.226926,0.21918,2119.659988,185.607781,12:15,6.34918,-0.03098,6.29725,-16.85383,17.3878,1.59858,1.96802,0.3042,82.14675,-6.436773,0.508421,0.421162,,,,,,,,,,,,-0.76673,10.27591,0.01415,50,6.10331,-0.56307,-130.24785,-7.80052,-1.31593,27.57977,-14.53721,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250228-SpuhlerFieldMain-1,c49d8930-f606-11ef-944d-5fce8e3e8e74,89.4964,,,7.59615,,,,,,,2d539fbf-71ba-42e3-95e4-8d61eda7ef44,2025-02-28,19:03:58.22,2025-02-28T14:03:58.2205440-05:00,2025-02-28T19:03:58.2205440Z,,v3,471300,4164,28 February 2025 14:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,f36c875b-abb5-4f09-bbb5-da38b0f996f3,54.20348,-131.13491,13.78989,6.34668,-7.33295,-7.26861,0.03158,-0.52075,-0.65797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-28,14:04:14.02,2,3,"Lavin, Sam",1000364332,Right,GEO_PAT,"Caufield, Casey",1000121884,Left,MON_HAW,Undefined,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.23329,0.470725,-0.241646,2161.937663,18.437564,6:30,6.31638,-0.02562,5.72537,-62.36747,-11.06489,-4.24406,1.55757,-0.60437,68.30311,-10.886028,-1.00404,0.515515,,,,,,,,,,,,2.1,-5.36083,0.04851,50,6.31686,0.60494,-107.85974,-1.06271,2.45102,20.37908,-38.43095,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250228-SpuhlerFieldMain-1,ce1516e0-f606-11ef-944d-5fce8e3e8e74,73.11614,,,5.93017,,,,,,,2d539fbf-71ba-42e3-95e4-8d61eda7ef44,2025-02-28,19:04:14.02,2025-02-28T14:04:14.0226048-05:00,2025-02-28T19:04:14.0226048Z,,v3,471300,4164,28 February 2025 14:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,b6295e66-2093-4223-bd1b-f806bd1c4a7f,54.78038,-108.7592,10.18954,6.32633,0.63348,-19.21548,0.0242,0.49677,1.22551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-28,14:04:30.27,2,4,"Lavin, Sam",1000364332,Right,GEO_PAT,"Caufield, Casey",1000121884,Left,MON_HAW,Undefined,1,Top,1,2,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,90.1777,-3.802452,-0.8031,2133.364436,202.511073,12:45,6.33322,-0.00191,6.45738,-17.27206,16.58115,6.40323,1.3952,-0.20614,82.35323,-7.094784,0.359129,0.418766,93.75506,14.071606,-8.594259,3093.845779,107.68899,22.17213,-22.42932,277.33516,277.33516,-17.591552,2.902911,-3.59414,10.13611,0.05599,50,6.05596,1.58315,-130.80667,-9.1577,-6.19672,28.85293,-14.69812,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250228-SpuhlerFieldMain-1,d7ba9260-f606-11ef-944d-5fce8e3e8e74,90.00839,24.81117,,7.82447,,,,1.45963,1.44789,0.18805,2d539fbf-71ba-42e3-95e4-8d61eda7ef44,2025-02-28,19:04:30.27,2025-02-28T14:04:30.2766592-05:00,2025-02-28T19:04:30.2766592Z,LineDrive,v3,471300,4164,28 February 2025 14:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,66096fc5-cd6a-4535-9432-dae809b6098f,54.04441,-131.69575,14.42647,6.33117,-8.70479,-7.34906,0.00427,1.77409,-3.09836,136.184149,1.45962,131.88278,-22.92366,4.74555,-0.89572,0.13253,-0.01185,0.00013,6E-05,1.44795,33.43267,-12.11637,0.20279,-0.20786,0.171,-0.06487,0.01273,-0.00102,0.18802,-19.9321,-5.92721,1.58147,-0.21447,-0.05204,0.036,-0.00795,0.00066,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-02-28,14:05:10.77,3,1,"Lavin, Sam",1000364332,Right,GEO_PAT,"Lovarco, Nick",1000392650,Right,MON_HAW,Undefined,1,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.80511,-1.748402,-2.0708,2081.386327,133.003727,10:30,6.39044,0.12363,6.12433,-35.45585,5.82067,-4.91177,1.81786,-2.20094,75.59775,-8.291446,-2.95661,0.462405,,,,,,,,,,,,1.9789,3.87949,0.03741,50,6.2381,4.47969,-118.82104,-4.72288,2.83827,22.07615,-26.60981,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250228-SpuhlerFieldMain-1,efdbf0a0-f606-11ef-944d-5fce8e3e8e74,81.51385,,,6.20736,,,,,,,2d539fbf-71ba-42e3-95e4-8d61eda7ef44,2025-02-28,19:05:10.77,2025-02-28T14:05:10.7733504-05:00,2025-02-28T19:05:10.7733504Z,,v3,471300,4164,28 February 2025 14:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,e467427d-6a51-46b2-bd53-687aaf591fb7,54.37779,-119.63164,11.03807,6.39358,-3.74581,-13.30491,-0.12517,4.37547,1.41913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-28,14:05:30.11,3,2,"Lavin, Sam",1000364332,Right,GEO_PAT,"Lovarco, Nick",1000392650,Right,MON_HAW,Undefined,1,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.32281,-3.393314,-1.837235,2198.955083,138.935014,10:45,6.22681,0.08512,6.24172,-34.29411,6.21307,-4.39051,0.23359,-1.97607,76.56842,-9.695013,-2.631748,0.458076,,,,,,,,,,,,1.82532,4.45323,0.05397,50,5.95647,3.99017,-119.52502,-8.1232,2.65842,21.5764,-25.68822,GEO_PAT,MON_HAW,SpuhlerFieldMain,D1,A10,20250228-SpuhlerFieldMain-1,fb67df60-f606-11ef-944d-5fce8e3e8e74,82.28429,,,5.75439,,,,,,,2d539fbf-71ba-42e3-95e4-8d61eda7ef44,2025-02-28,19:05:30.11,2025-02-28T14:05:30.1113856-05:00,2025-02-28T19:05:30.1113856Z,,v3,471300,4164,28 February 2025 14:00-monmouth@georgemas,"Raymond, Andrew",10148052,Right,GEO_PAT,24f13ad1-af8b-4120-b66e-9bb1c0f9b937,54.26234,-120.29198,10.7882,6.22899,-7.21007,-12.84411,-0.08618,3.89567,1.32921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
