PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-09-20,11:30:58.81,1,1,"Parker, Aiden",35,Right,GEO_PAT,"Morse, Jackson",5,Right,GEO_PAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.03705,-3.765724,-4.56526,2110.633419,196.741731,12:30,6.29399,2.05387,6.47736,-19.67907,14.71154,4.12709,1.17992,-1.80346,82.5256,-7.457251,-3.819955,0.422077,,,,,,,,,,,,-3.28418,8.95457,-1.7336,50,6.01875,10.1382,-128.93556,-9.06725,-5.59243,23.90706,-16.92589,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250920-SpuhlerFieldMain-Private-1,cf18e140-9636-11f0-9926-6b684838820f,89.30234,,,6.51145,,,,,,,bfa4c60b-d3b7-4352-ab5e-14fd001fa730,2025-09-20,15:30:58.81,2025-09-20T11:30:58.8185088-04:00,2025-09-20T15:30:58.8185088Z,,v3,471300,471300,,"Vaughn, Logan",12,Right,GEO_PAT,7368046e-0581-45fd-a7c5-888247ab0896,54.02535,-129.67978,11.95353,6.29281,-8.54035,-8.46294,-2.05191,10.31229,-2.79622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-09-20,11:31:12.83,1,2,"Parker, Aiden",35,Right,GEO_PAT,"Morse, Jackson",5,Right,GEO_PAT,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.0165,-3.461539,-3.506099,2269.089406,197.65301,12:30,6.21187,2.1671,6.53132,-19.05363,16.06595,4.77918,1.43871,-0.65507,81.28814,-7.062559,-2.640139,0.426527,,,,,,,,,,,,-3.4052,9.65162,-1.92525,50,5.96225,7.64084,-127.63638,-8.24631,-5.66198,24.3151,-16.12579,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250920-SpuhlerFieldMain-Private-1,d7756200-9636-11f0-9926-6b684838820f,88.37067,,,6.72835,,,,,,,bfa4c60b-d3b7-4352-ab5e-14fd001fa730,2025-09-20,15:31:12.83,2025-09-20T11:31:12.8379904-04:00,2025-09-20T15:31:12.8379904Z,,v3,471300,471300,,"Vaughn, Logan",12,Right,GEO_PAT,6afb0445-2089-4e8e-a44d-a9250ac6c4cf,53.971,-128.39063,12.15755,6.2103,-7.74609,-8.06289,-2.16499,7.81647,-2.83099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-09-20,11:31:27.61,1,3,"Parker, Aiden",35,Right,GEO_PAT,"Morse, Jackson",5,Right,GEO_PAT,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.72434,-1.996711,-2.494122,2179.388969,201.138543,12:45,6.26655,2.1177,6.40061,-20.01997,14.78339,5.29473,2.75944,0.26374,81.34731,-5.791141,-1.535656,0.424602,,,,,,,,,,,,-3.46957,8.6128,-1.9411,50,6.11382,5.41029,-128.85623,-5.06209,-5.83858,26.5544,-17.68046,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250920-SpuhlerFieldMain-Private-1,e042cd00-9636-11f0-9926-6b684838820f,88.77122,,,7.37703,,,,,,,bfa4c60b-d3b7-4352-ab5e-14fd001fa730,2025-09-20,15:31:27.61,2025-09-20T11:31:27.6128256-04:00,2025-09-20T15:31:27.6128256Z,,v3,471300,471300,,"Vaughn, Logan",12,Right,GEO_PAT,90143046-640c-4600-8265-7d2052fc11c5,54.10201,-129.69881,13.2772,6.26554,-4.50109,-8.84023,-2.11571,5.59555,-2.91929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-09-20,11:31:49.06,1,4,"Parker, Aiden",35,Right,GEO_PAT,"Morse, Jackson",5,Right,GEO_PAT,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.97315,-1.463564,-2.206706,2145.47355,188.569197,12:15,6.28718,2.11028,6.39687,-19.48348,15.27958,2.13118,3.31619,0.25732,81.12426,-5.175562,-1.820929,0.424356,69.44942,7.753565,-28.516754,1407.587599,,,,92.30572,89.54541,-29.908626,0.989726,-1.76189,8.75355,-1.95275,50,6.17295,4.89639,-129.2098,-3.84595,-2.96467,28.09858,-17.44488,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250920-SpuhlerFieldMain-Private-1,ed084d30-9636-11f0-9926-6b684838820f,88.82265,6.01692,,7.84889,,,,2.37638,3.41472,-0.28624,bfa4c60b-d3b7-4352-ab5e-14fd001fa730,2025-09-20,15:31:49.06,2025-09-20T11:31:49.0659840-04:00,2025-09-20T15:31:49.0659840Z,GroundBall,v3,471300,471300,,"Vaughn, Logan",12,Right,GEO_PAT,7693d877-9349-4766-9444-06915eccf7a6,54.10491,-130.09941,14.04929,6.28597,-3.29363,-8.72244,-2.10926,4.99025,-1.48234,79.70152,2.37638,88.68294,-11.43348,1.35075,-0.28969,0.03804,-0.00458,0.00091,-0.0001,3.41472,13.74206,-18.68406,1.53655,-0.26306,0.05953,-0.00879,0.0012,-0.00015,-0.28624,-48.18449,1.68036,0.39226,-0.10806,0.03469,-0.00642,0.00105,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-09-20,11:32:20.79,2,1,"Parker, Aiden",35,Right,GEO_PAT,"Bagnerise, Julius",3,Left,GEO_PAT,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.54526,-0.804364,-1.598382,1412.721557,208.524395,1:00,6.20442,2.70139,6.33401,-30.48202,8.44886,3.84087,2.92324,1.54926,76.52723,-6.536966,-0.903019,0.449075,,,,,,,,,,,,-2.49177,5.08236,-2.58649,50,6.13167,3.27351,-122.68973,-2.6337,-3.74445,27.4744,-24.53671,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250920-SpuhlerFieldMain-Private-1,ffdc1860-9636-11f0-9926-6b684838820f,83.93356,,,8.01803,,,,,,,bfa4c60b-d3b7-4352-ab5e-14fd001fa730,2025-09-20,15:32:20.79,2025-09-20T11:32:20.7994368-04:00,2025-09-20T15:32:20.7994368Z,,v3,471300,471300,,"Vaughn, Logan",12,Right,GEO_PAT,b4fe686d-6620-4940-9c60-e52c27f617a2,54.16435,-123.61875,13.7372,6.2067,-1.80402,-12.26835,-2.69932,3.40013,-1.87222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-09-20,11:32:36.47,2,2,"Parker, Aiden",35,Right,GEO_PAT,"Bagnerise, Julius",3,Left,GEO_PAT,Undefined,1,Top,1,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.09762,-1.462744,-1.299444,2053.075161,224.65176,1:30,6.23053,2.19985,6.39589,-22.55915,13.2393,11.80757,3.00462,1.98846,79.56441,-5.757205,0.840819,0.430629,,,,,,,,,,,,-6.50008,7.74591,-2.11117,50,6.11509,2.41715,-127.83513,-3.90607,-10.59775,29.97533,-19.54511,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250920-SpuhlerFieldMain-Private-1,09391930-9637-11f0-9926-6b684838820f,87.52872,,,8.5332,,,,,,,bfa4c60b-d3b7-4352-ab5e-14fd001fa730,2025-09-20,15:32:36.47,2025-09-20T11:32:36.4707840-04:00,2025-09-20T15:32:36.4707840Z,,v3,471300,471300,,"Vaughn, Logan",12,Right,GEO_PAT,69c495d3-ded9-4f35-8f96-60e46e2ac271,54.102,-128.79339,14.98767,6.22997,-3.28125,-9.77255,-2.19386,2.75594,-5.29887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-09-20,11:32:50.85,2,3,"Parker, Aiden",35,Right,GEO_PAT,"Bagnerise, Julius",3,Left,GEO_PAT,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.27019,-1.426777,-1.963896,2166.297875,193.105987,12:30,6.22363,2.42976,6.28965,-19.87548,16.32788,3.52977,3.25138,0.91329,79.71213,-5.206876,-1.326064,0.433058,,,,,,,,,,,,-2.38378,9.23721,-2.28665,50,6.10867,4.20583,-126.73104,-3.70717,-3.86977,26.33832,-17.17871,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250920-SpuhlerFieldMain-Private-1,11e121e0-9637-11f0-9926-6b684838820f,87.03788,,,7.55806,,,,,,,bfa4c60b-d3b7-4352-ab5e-14fd001fa730,2025-09-20,15:32:50.85,2025-09-20T11:32:50.8522496-04:00,2025-09-20T15:32:50.8522496Z,,v3,471300,471300,,"Vaughn, Logan",12,Right,GEO_PAT,59d4f86f-f5a2-46bd-8190-769ab9431697,54.21061,-127.60313,13.16916,6.222,-3.13837,-8.58935,-2.42803,4.33396,-1.93489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-09-20,11:33:06.25,2,4,"Parker, Aiden",35,Right,GEO_PAT,"Bagnerise, Julius",3,Left,GEO_PAT,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,1,0,,88.8566,-2.583789,-1.998352,2200.464525,192.914372,12:30,6.16417,2.20799,6.51046,-19.36336,15.32064,3.25465,2.17626,0.6445,81.24474,-6.268191,-1.407599,0.423873,,,,,,,,,,,,-2.27862,9.11532,-2.06976,50,5.97496,4.37594,-129.0004,-6.34987,-3.82927,27.51494,-16.85565,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250920-SpuhlerFieldMain-Private-1,1b0d9cd0-9637-11f0-9926-6b684838820f,88.92386,,,7.61186,,,,,,,bfa4c60b-d3b7-4352-ab5e-14fd001fa730,2025-09-20,15:33:06.25,2025-09-20T11:33:06.2530000-04:00,2025-09-20T15:33:06.2530000Z,,v3,471300,471300,,"Vaughn, Logan",12,Right,GEO_PAT,9f932722-da3d-4c66-8ba3-32a6d66ced08,53.99081,-129.84882,13.75747,6.16275,-5.83013,-8.42783,-2.20652,4.49402,-1.91464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2783,2.89008,1.621965,1.268115,0.59743,2.08576,-0.62444,-1.86568,6.14696,-0.10131,75.09872,7.87852,-49.68789,-1.76449,66.83241,-4.89823,6.24954,19.93188,-14.69535,-0.19275,-44.06879,3.96681,High,High,High,,,High,Medium,Medium
9,2025-09-20,11:33:31.08,2,5,"Parker, Aiden",35,Right,GEO_PAT,"Cowdry, Vincent",7,Right,GEO_PAT,Undefined,1,Top,2,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.68898,-1.050981,-1.98679,2231.583778,189.972169,12:15,6.33414,2.23123,6.05155,-17.77001,16.77875,2.75681,3.87966,0.62096,81.91067,-4.430224,-1.490985,0.423046,,,,,,,,,,,,-1.96847,9.25756,-2.078,50,6.24263,4.40136,-130.2235,-2.90514,-3.37867,27.4633,-16.28434,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250920-SpuhlerFieldMain-Private-1,29e0ee60-9637-11f0-9926-6b684838820f,89.0977,,,7.77832,,,,,,,bfa4c60b-d3b7-4352-ab5e-14fd001fa730,2025-09-20,15:33:31.08,2025-09-20T11:33:31.0879744-04:00,2025-09-20T15:33:31.0879744Z,,v3,471300,471300,,"Vaughn, Logan",12,Right,GEO_PAT,2f4a34c3-7d99-4a60-8c6d-6b6b81616f5f,54.44866,-131.15834,13.73165,6.33209,-2.35083,-8.14217,-2.22978,4.51636,-1.68933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-09-20,11:33:45.36,2,6,"Parker, Aiden",35,Right,GEO_PAT,"Cowdry, Vincent",7,Right,GEO_PAT,Undefined,1,Top,2,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,87.39467,-3.451502,-4.345664,2221.288193,193.762204,12:30,6.19544,2.08555,6.55677,-20.87285,15.04674,3.40327,1.27827,-1.62318,80.19796,-7.394078,-3.729847,0.431357,,,,,,,,,,,,-2.99276,9.21804,-1.78646,50,5.94723,9.48659,-126.52099,-8.2142,-4.85177,25.778,-17.23009,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20250920-SpuhlerFieldMain-Private-1,325a9410-9637-11f0-9926-6b684838820f,87.38103,,,7.19671,,,,,,,bfa4c60b-d3b7-4352-ab5e-14fd001fa730,2025-09-20,15:33:45.36,2025-09-20T11:33:45.3621760-04:00,2025-09-20T15:33:45.3621760Z,,v3,471300,471300,,"Vaughn, Logan",12,Right,GEO_PAT,e871a870-99f8-4af4-9bec-b5ceb45af617,53.94437,-127.3221,12.889,6.19419,-7.67874,-8.61504,-2.08362,9.63737,-2.42589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
