PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-11-07,13:41:14.80,1,1,"Ertel, Brant",10021556,Right,GEO_PAT,"McCarthy, Jack",1000469298,Right,GEO_PAT,Undefined,1,Top,0,0,0,Sinker,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.23329,-0.965934,-3.106782,2123.733779,245.340319,2:15,5.21761,1.89791,6.05475,-28.75505,8.7156,16.33497,1.92579,0.38041,78.78293,-6.328809,-0.16839,0.440572,90.35092,20.331094,33.523647,5136.210278,85.33641,33.70324,69.40917,261.97101,232.13139,49.080906,3.453511,-9.3328,5.12382,-1.66493,50,5.12692,6.14559,-125.14431,-3.02829,-14.75914,25.91181,-24.0711,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20251107-SpuhlerFieldMain-Private-1,57587d70-bc09-11f0-b809-0b3ae4563193,85.55341,37.69937,,7.45037,,,,1.31094,1.8921,-0.44647,9a09a814-686f-4767-a7be-1b06bb2e4109,2025-11-07,18:41:14.80,2025-11-07T13:41:14.8027904-05:00,2025-11-07T18:41:14.8027904Z,LineDrive,v3,471300,471300,,,,Undefined,GEO_PAT,ff485281-188a-4881-8414-17bed3fe11af,54.44809,-126.06194,12.95591,5.21907,-2.17584,-12.03555,-1.89183,6.66826,-7.37957,233.518921,1.31058,103.6009,-29.48213,7.65139,-1.95372,0.46982,-0.09785,0.01327,-0.00077,1.8924,46.0319,-15.76748,0.39139,0.30143,-0.15966,0.04608,-0.00653,0.00033,-0.44669,68.63336,-1.49461,-1.83496,0.80122,-0.20238,0.03265,-0.00308,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-11-07,13:41:41.73,1,2,"Ertel, Brant",10021556,Right,GEO_PAT,"McCarthy, Jack",1000469298,Right,GEO_PAT,Undefined,1,Top,0,0,1,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.56814,-1.235882,-3.42354,2023.976197,261.878864,2:45,5.21661,1.9217,5.82066,-33.75754,3.17929,15.23103,1.25216,0.00402,80.505,-7.419637,-0.695102,0.437423,,,,,,,,,,,,-8.6739,2.19276,-1.65065,50,5.09481,6.92067,-125.7681,-3.88174,-14.09457,22.03865,-28.61093,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20251107-SpuhlerFieldMain-Private-1,676168d0-bc09-11f0-b809-0b3ae4563193,86.1694,,,6.06313,,,,,,,9a09a814-686f-4767-a7be-1b06bb2e4109,2025-11-07,18:41:41.73,2025-11-07T13:41:41.7373696-05:00,2025-11-07T18:41:41.7373696Z,,v3,471300,471300,,,,Undefined,GEO_PAT,8549bc6f-f6d4-4995-b790-e815471e340e,54.6851,-126.58642,11.01933,5.21922,-2.81938,-14.30547,-1.91734,7.44402,-7.04728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-11-07,13:41:59.80,1,3,"Ertel, Brant",10021556,Right,GEO_PAT,"McCarthy, Jack",1000469298,Right,GEO_PAT,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.31274,-0.238197,-3.774434,2326.080077,124.629111,10:15,5.12826,2.05512,5.26078,-41.69475,7.33741,-8.55367,1.42941,-2.20909,70.66122,-7.806334,-5.285737,0.503978,,,,,,,,,,,,3.29819,4.18335,-1.7023,50,5.07562,7.62656,-110.60604,-1.82826,4.11027,18.62035,-26.96068,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20251107-SpuhlerFieldMain-Private-1,72187b60-bc09-11f0-b809-0b3ae4563193,74.7898,,,5.65151,,,,,,,9a09a814-686f-4767-a7be-1b06bb2e4109,2025-11-07,18:41:59.80,2025-11-07T13:41:59.8030848-05:00,2025-11-07T18:41:59.8030848Z,,v3,471300,471300,,,,Undefined,GEO_PAT,2fd40b12-48a3-4404-b57f-4ff70b5094fb,55.24117,-111.48489,9.31018,5.13188,-0.55576,-13.48034,-2.05768,7.43256,2.05513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-11-07,13:42:20.77,1,4,"Ertel, Brant",10021556,Right,GEO_PAT,"McCarthy, Jack",1000469298,Right,GEO_PAT,Undefined,1,Top,0,2,1,Sinker,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,86.03697,0.105389,-2.683272,2083.224406,264.325134,2:45,5.13465,1.77721,5.95543,-34.87553,2.56528,14.69863,2.3262,0.51174,79.25587,-6.330628,-0.042715,0.440396,68.1342,-74.833827,-87.911723,,,,,1.99068,1.74359,-33.923815,0.027171,-8.28363,1.60689,-1.57217,50,5.12328,5.27703,-125.02166,-0.94453,-13.18624,23.84799,-29.61614,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20251107-SpuhlerFieldMain-Private-1,7ead4ea0-bc09-11f0-b809-0b3ae4563193,85.58752,2.6314,,6.7811,,,,1.62584,2.6314,-0.39818,9a09a814-686f-4767-a7be-1b06bb2e4109,2025-11-07,18:42:20.77,2025-11-07T13:42:20.7784960-05:00,2025-11-07T18:42:20.7784960Z,GroundBall,v3,471300,471300,,,,Undefined,GEO_PAT,a1b4dffa-e075-4567-a3e1-95a70c0f5c16,54.54893,-125.88638,11.92399,5.13806,0.12934,-14.80807,-1.77218,5.75516,-6.59312,,1.62582,0.95658,,,,,,,,2.63314,-96.84726,,,,,,,,-0.39771,-26.23399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2025-11-07,13:42:56.53,2,1,"Ertel, Brant",10021556,Right,GEO_PAT,"Bagnerise , Julius",1000469309,Right,GEO_PAT,Undefined,1,Top,1,0,0,Cutter,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.536,-1.401808,-2.716527,2330.599121,203.098015,12:45,5.23596,1.89122,5.51524,-27.63423,16.19682,6.29894,1.62053,-0.12602,73.68356,-6.535907,-1.595271,0.476499,,,,,,,,,,,,-3.95866,9.00315,-1.65865,50,5.09532,5.29108,-116.76176,-3.71831,-5.4577,22.25876,-19.76167,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20251107-SpuhlerFieldMain-Private-1,93facc60-bc09-11f0-b809-0b3ae4563193,79.10282,,,6.85245,,,,,,,9a09a814-686f-4767-a7be-1b06bb2e4109,2025-11-07,18:42:56.53,2025-11-07T13:42:56.5347840-05:00,2025-11-07T18:42:56.5347840Z,,v3,471300,471300,,,,Undefined,GEO_PAT,205176fd-31b0-4bf1-aa6e-b5395098364d,54.98582,-117.70839,11.12938,5.23558,-2.87788,-9.88084,-1.88861,5.52319,-2.72885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-11-07,13:43:14.28,2,2,"Ertel, Brant",10021556,Right,GEO_PAT,"Bagnerise , Julius",1000469309,Right,GEO_PAT,Undefined,1,Top,1,0,1,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.94202,-1.378739,-3.736703,2254.335157,241.714064,2:00,5.24594,1.74252,5.84162,-26.40202,10.3552,17.27036,1.76138,-0.29615,80.34546,-6.268551,-0.645684,0.436358,,,,,,,,,,,,-9.7965,5.96162,-1.4481,50,5.11767,7.5434,-126.1956,-3.91631,-15.96988,23.06339,-22.45564,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20251107-SpuhlerFieldMain-Private-1,9e8bb950-bc09-11f0-b809-0b3ae4563193,86.37967,,,6.59656,,,,,,,9a09a814-686f-4767-a7be-1b06bb2e4109,2025-11-07,18:43:14.28,2025-11-07T13:43:14.2891520-05:00,2025-11-07T18:43:14.2891520Z,,v3,471300,471300,,,,Undefined,GEO_PAT,b1ef98c2-eae9-4c64-a8eb-96897e1726ee,54.66277,-127.04491,11.5317,5.24666,-3.08939,-11.22782,-1.73672,8.13149,-7.98494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-11-07,13:43:32.63,2,3,"Ertel, Brant",10021556,Right,GEO_PAT,"Bagnerise , Julius",1000469309,Right,GEO_PAT,Undefined,1,Top,1,0,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.34073,-0.883219,-3.131605,2209.81786,234.618586,1:45,5.37229,1.75608,5.86718,-22.58411,12.17075,15.72237,2.6685,0.15422,82.38566,-5.093595,-0.315092,0.424306,94.2343,12.691662,-68.470939,2059.920475,34.50315,15.78812,-104.44864,212.52358,136.78053,-75.085521,1.96158,-8.85776,6.76217,-1.51144,50,5.28737,6.44517,-129.76388,-2.74774,-15.25376,24.6202,-20.52908,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20251107-SpuhlerFieldMain-Private-1,a97d15c0-bc09-11f0-b809-0b3ae4563193,88.83314,15.78559,,6.95507,,,,0.03752,2.36544,0.30899,9a09a814-686f-4767-a7be-1b06bb2e4109,2025-11-07,18:43:32.63,2025-11-07T13:43:32.6350848-05:00,2025-11-07T18:43:32.6350848Z,LineDrive,v3,471300,471300,,,,Undefined,GEO_PAT,5a831fe0-ddab-49e2-9fb9-a4a85367db76,54.63671,-130.64064,12.3101,5.3722,-2.01667,-10.26454,-1.75064,6.98838,-7.62688,,0.03753,49.4796,-15.63719,3.33952,-0.69219,0.12972,-0.02209,0.00342,-0.00035,2.36555,30.35627,-18.4356,1.38352,0.45756,-0.75681,0.40143,-0.10081,0.00996,0.30906,-125.43262,15.23826,-3.71766,1.39818,-0.80545,0.35479,-0.08566,0.00844,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2025-11-07,13:44:05.98,2,4,"Ertel, Brant",10021556,Right,GEO_PAT,"Bagnerise , Julius",1000469309,Right,GEO_PAT,Undefined,1,Top,1,0,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.62072,2.415876,-0.364539,2270.88868,136.855652,10:30,5.23418,1.74351,5.37518,-40.10671,6.045,-4.31335,4.15836,1.04228,71.78534,-4.955107,-1.130788,0.488951,,,,,,,,,,,,2.04713,2.83024,-1.70775,50,5.42268,0.9003,-114.01967,3.46974,2.69538,20.92975,-28.44757,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20251107-SpuhlerFieldMain-Private-1,bd4d1b40-bc09-11f0-b809-0b3ae4563193,77.08838,,,6.83538,,,,,,,9a09a814-686f-4767-a7be-1b06bb2e4109,2025-11-07,18:44:05.98,2025-11-07T13:44:05.9876864-05:00,2025-11-07T18:44:05.9876864Z,,v3,471300,471300,,,,Undefined,GEO_PAT,1064c0d1-dd75-4b06-9832-eed1527b25d5,55.12474,-114.95653,10.46488,5.23886,4.74312,-14.22379,-1.74534,0.77965,1.34769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-11-07,13:44:22.52,2,5,"Ertel, Brant",10021556,Right,GEO_PAT,"Bagnerise , Julius",1000469309,Right,GEO_PAT,Undefined,1,Top,1,1,2,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,75.08126,0.626464,-1.942571,2366.115033,85.152712,8:45,5.16191,1.85832,5.63461,-49.30105,1.11386,-6.54241,1.63835,-0.50005,68.67308,-8.411297,-3.111227,0.511035,102.33215,-31.800304,62.963321,,,,,5.11526,5.11526,36.763357,0.023153,2.75114,0.81992,-1.6886,50,5.18354,3.93179,-108.93739,-0.33681,3.27779,20.66302,-31.19716,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20251107-SpuhlerFieldMain-Private-1,c73e6cd0-bc09-11f0-b809-0b3ae4563193,73.75701,1.83343,,6.40818,,,,2.75378,1.83343,0.42771,9a09a814-686f-4767-a7be-1b06bb2e4109,2025-11-07,18:44:22.52,2025-11-07T13:44:22.5254400-05:00,2025-11-07T18:44:22.5254400Z,GroundBall,v3,471300,471300,,,,Undefined,GEO_PAT,3e0a7f7b-9a00-4840-8601-90fe154d144c,54.86794,-109.85685,10.33151,5.16764,1.0514,-15.59858,-1.86031,3.78594,1.63889,,2.75352,58.05356,,,,,,,,1.83379,-79.18667,,,,,,,,0.42719,113.75643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2025-11-07,13:45:09.30,3,1,"Ertel, Brant",10021556,Right,GEO_PAT,"McCarthy, Jack",1000469298,Right,GEO_PAT,Undefined,1,Top,2,0,0,Cutter,Slider,InPlay,Undefined,LineDrive,Single,0,0,,78.32827,0.690375,-2.229467,2261.749662,153.332069,11:00,5.12414,1.86616,5.61945,-41.14868,4.4739,-1.59784,2.33992,-0.34878,72.50558,-6.845748,-2.514558,0.48614,98.80886,7.707202,5.021472,1266.104853,108.84226,8.78726,15.91286,175.78385,175.78385,10.299033,1.547869,0.25441,2.44795,-1.6747,50,5.15622,4.48986,-113.80537,0.05276,0.33663,19.14963,-28.9351,GEO_PAT,GEO_PAT,SpuhlerFieldMain,TeamExclusive,Team,20251107-SpuhlerFieldMain-Private-1,e3247430-bc09-11f0-b809-0b3ae4563193,77.53412,9.15639,,5.82269,,,,1.61723,2.37086,0.32277,9a09a814-686f-4767-a7be-1b06bb2e4109,2025-11-07,18:45:09.30,2025-11-07T13:45:09.3009920-05:00,2025-11-07T18:45:09.3009920Z,GroundBall,v3,471300,471300,,,,Undefined,GEO_PAT,18c5f9ab-2cf6-4ccf-aeca-e9db8ae69a41,54.88455,-114.62433,9.57481,5.12751,1.2902,-14.46755,-1.8664,4.47546,0.16832,242.198445,1.61723,143.06016,-27.59831,5.85676,-1.61434,0.83683,-0.48417,0.16958,-0.02492,2.37087,19.43413,-14.19525,0.26826,0.50697,-0.72758,0.54001,-0.2032,0.03085,0.32278,12.56803,8.27214,-3.48755,1.81255,-1.52376,1.01834,-0.37387,0.05626,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
